_id,title,description,keywords,url,topic,sub-topic,fields that guide decision,ontology,discussed,Gabriele_topic,Maria_Angela_topic
getty-aat,Art & Architecture Thesaurus,"The Art & Architecture Thesaurus® (AAT) is a structured  multilingual vocabulary including terms  descriptions  and other information for generic concepts related to art  architecture  and othercultural heritage  and conservation. For decades now  the AAT as been used as a primary reference by museums  art libraries  archives  visual resource catalogers  conservation specialists  archaeological projects  bibliographic projects  researchers  and information specialists who are dealing with the needs of these users. Like all of the Getty Vocabularies  the AAT is compliant with international standards and grows through contribution.     ** Openness **  AAT data is released under Open Data Commons Attribution License. Adherence to ODC Attribution instructions for the correct assertion of attribution is encouraged. The preferred form of attribution for AAT is:    ""*This [title or report or article or dataset] contains information from the Art & Architecture Thesaurus® (AAT) which is made available under the ODC Attribution License.*""    Special Case: In circumstances where providing the full attribution statement above is not technically feasible  the use of canonical AAT URIs is adequate to satisfy Section 4.3 of the ODC Attribution License.",Thesauri; architecture; art; conservation;cultural heritage; format-skos; format-skosxl; lod; skos; topic.schemata,https://lod-cloud.net/dataset/getty-aat,cultural heritage,,DESC,YES,,cultural heritage,cultural heritage 
getty-tgn,The Getty Thesaurus of Geographic Names,"Getty Thesaurus of Geographic Names® (TGN) is a structured vocabulary of geographic names intended to provide terminology and other information important to various diciplines that specialize in art  architecture and material culture. The TGN includes names and associated information about places. Places in TGN include administrative political entities (e.g.  cities  nations) and physical features (e.g.  mountains  rivers). Current and historical places are included. Like all of the Getty Vocabularies  the TGN is compliant with international standards and grows through contribution.     ** Openness **  TGN data is released under Open Data Commons Attribution License. Adherence to ODC Attribution instructions for the correct assertion of attribution is encouraged. The preferred form of attribution for TGN is:    ""*This [title or report or article or dataset] contains information from the Getty Thesaurus of Geographic Names® (TGN) which is made available under the ODC Attribution License.*""    Special Case: In circumstances where providing the full attribution statement above is not technically feasible  the use of canonical TGN URIs is adequate to satisfy Section 4.3 of the ODC Attribution License.",cultural heritage; format-skos; format-skosxl; geographic; getty; size-xlarge; skos; thesaurus,https://lod-cloud.net/dataset/getty-tgn,cultural heritage,tangible-immovable,DESC,NO,,cultural heritage,"linguistic, geography, cultural heritage"
glastonbury-2011,Glastonbury 2011 Programme,This has been screen scraped from the Glastonbury website.,arts; deref-vocab; festival; glastonbury; lod; lodcloud.nolinks; lodcloud.unconnected; music; programme; published-by-third-party; rdf; usergeneratedcontent,https://lod-cloud.net/dataset/glastonbury-2011,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
hebis-bibliographic-resources,HeBIS - Bibliographic Resources of the Library Union Catalogues of Hessen and parts of the Rhineland Palatinate,This site contains links to metadata about all types of publications (print media  E-books  E-journals online resources) originating from the central union database of HeBIS. HeBIS - The Hessische BibliotheksInformationsSystem is one of the six regional library unions in Germany. It is the electronic information and service union of academic libraries in Hessen and parts of the Rhineland Palatinate. The metadata was catalogued by 27 independent cataloging libraries/library systems which are active within the union.    Additional information about the producer of this data can be found here:    http://www.hebis.de/eng/englisch_index.php,bibliographic; format-bibo; format-dc; format-dcterms; format-frbr; format-owl; format-rdf; format-wdrs; frankfurt; germany; hesse; hessen; library; license-metadata; lld; lod; no-proprietary-vocab; no-provenance-metadata; publications; published-by-producer; university,https://lod-cloud.net/dataset/hebis-bibliographic-resources,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,papers
hedatuz,Hedatuz,A bibliographic dataset about the publications of Hedatuz database  mantained by Euskomedia Fundazioa (foundation that shares cultural and research contents in basque language). It contains the publications published by RIEV and Eusko Ikaskuntza since 1907 and 1918 respectively.    The Linked Data has been generated by DeustoTech - Internet research group.,basque; bibliographic; euskara; format-bibo; format-dc; format-foaf; format-owl; format-rdf; hedatuz; linked data; lod; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; publications; published-by-third-party; viaf,https://lod-cloud.net/dataset/hedatuz,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,papers
http:pakistan.com,Polictical History of Pakistan,National Assembly,,https://lod-cloud.net/dataset/http:pakistan.com,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
https:bioportal.bioontology.orgontologiesIBIOp=summary,Indian Biodiversity,The Indian Biodiversity,,https://lod-cloud.net/dataset/https:bioportal.bioontology.orgontologiesIBIOp=summary,,,,,,,cultural heritage
https:data.bioontology.orgontologiesIBIOsubmissions1downloadapikey=66c2aec1-4044-4900-979d-6f529857554a,Indian Biodiversity,Indian Biodiversity,,https://lod-cloud.net/dataset/https:data.bioontology.orgontologiesIBIOsubmissions1downloadapikey=66c2aec1-4044-4900-979d-6f529857554a,,,,NO,,,cultural heritage
iislod-test,"Test Site, LOD Lab 317",Sample linked data converted from Union Catalog of Digital Archives Taiwan.,format-cc; format-dc; format-dct; format-foaf; format-org; format-prov; format-r4r; format-rdfs; format-schema; format-skos; format-wde; format-xsd; license-metadata; lod; lodcloud.nolinks; lodcloud.unconnected; no-deref-vocab; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; vocab-mappings,https://lod-cloud.net/dataset/iislod-test,ND,,,,,ND,cultural heritage
inaudio.org0000018ef20a1907,Royalty Free Music,Unlimited Access. Search for amazing Non Copyright Music. World-class royalty free music for YouTube videos  Twitch  Facebook  Games  Instagram,royalty free music; copyright free music; no copyrigh music; free royalty free music,https://lod-cloud.net/dataset/inaudio.org,cultural heritage,intangible,DESC,NO,,cultural heritage,
jita,JITA Classification System of Library and Information Science,"The JITA Classification Schema has been developed starting from a merger of NewsAgentTopic Classification Scheme (maintained by Mike Keen at Aberystwyth  UK  until 31st March 1998) and the RIS classification scheme of the (now defunct) Review of Information Science originally conceived by Dagobert Soergel (University of Maryland). JITA is an acronym of the authors' first names: ""J""osé Manuel Barrueco Cruz  ""I""mma Subirats Coll  ""T""homas Krichel and ""A""ntonella De Robbio. The authors thank Michael Keen  University of Wales Aberystwyth and Andy Powell  UKOLN for the permission of the using NewsAgentTopic Classification Scheme in the development of this schema. In addition  the authors are grateful for comments by Lorcan Dempsey (OCLC) and Sophie Rigny (Library of Congress).",classification; format-skos; format-xhtml; information-science; library; lld; lod; no-license-metadata; no-proprietary-vocab; provenance-metadata; published-by-producer; schemata,https://lod-cloud.net/dataset/jita,cultural heritage,tangible-movable,KEYWORDS,NO,,cultural heritage,not classified
john-goodwins-family-tree,John Goodwin's Family Tree,Data about John Goodwin's family tree.,format-bio; format-event; format-foaf; format-owl; format-rdf; format-rel; genealogy; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-producer; usergeneratedcontent,https://lod-cloud.net/dataset/john-goodwins-family-tree,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified
lcsubjects,LCSubjects.org Library of Congress Subject Headings,An alternative to http://id.loc.gov/:  includes a SPARQL endpoint  faceted search,lld; lod,https://lod-cloud.net/dataset/lcsubjects,cultural heritage,tangible-movable,TITLE,NO,,cultural heritage,not classified
linked-open-piracy,Linked Open Piracy,Maritime piracy event descriptions from the International Chamber of Commerce International Maritime Bureau    ## Accessing the dataset    * SPARQL query form  * No dereferenceable URIs for the RDF data,attacks; deref-vocab; events; geographic; government; hijackings; icc; imb; lod; lodcloud-diagram-2014-08-30; lodcloud.nolinks; lodcloud.unconnected; maritime; nga; piracy; published-by-producer; sea; shipping-safety,https://lod-cloud.net/dataset/linked-open-piracy,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified - government
linkedmdb,Linked Movie DataBase,Data exposed: Linked Data about Movies  Size of data set: 6 148 121 triples.    ### Openness: Open    Mixture of material from Wikipedia  Freebase and Geonames and states on http://wiki.linkedmdb.org/Main/Licensing:    > Content created by (or contributed to) LinkedMDB (interlinking data  in particular) is licensed under the Creative Commons Attributions License(CC-BY). You are free to use CC-BY content as long as you provide proper attribution back to the source (LinkedMDB). Attribution should be given with a link or a reference to LinkedMDB.,ckanupload.esw.200910; deref-vocab; films; format-dbp; format-rdf; license-; linked-data; linkeddata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; rdf,https://lod-cloud.net/dataset/linkedmdb,cultural heritage,intangible,DESC,NO,,cultural heritage,
masc,Manually Annotated Sub-Corpus (MASC) of the Open American National Corpus,The Manually Annotated Sub-Corpus (MASC) consists of approximately 500 000 words of contemporary American English written and spoken data drawn from the OPEN AMERICAN NATIONAL CORPUS (OANC).      All of MASC includes manually validated annotations for sentence boundaries  token  lemma and POS; noun and verb chunks; and named entities (person  location  organization  date). Additional manually produced or validated annotations have been produced by the MASC project for portions of the sub-corpus  including full-text annotation for FrameNet frame elements  WordNet sense tags  and Penn Treebank syntactic annotation. Annotations of all or portions of the sub-corpus for a wide variety of other linguistic phenomena have been contributed by other projects.      Unlike most freely available corpora including a wide variety of linguistic annotations  MASC contains texts from a broad range of genres.      MASC is an OPEN LANGUAGE DATA resource that can be downloaded by anyone for any purpose. At the same time  it is a resource that will be enhanced by the community  through its contributions of annotations and derived data.    The RDF conversion from GrAF is still in preparation. Below  you can find a preliminary OWL2/DL representation of the PennTreebank syntax (60.000 tok) in OWL  generated out of the original annotations  instead. Triple counts and links refer to this fragment. The conversion follows POWLA specifications (http://sourceforge.net/projects/powla/) and includes links to OLiA Annotation Models for PTB morphosyntax and syntax.,american-english; annotation; corpus; crossdomain; english; llod; lod,https://lod-cloud.net/dataset/masc,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,linguistic
my-family-lineage,My Family Lineage,"<h2>My Family Lineage</h2>  <h3>Note: We have added Content Negotiation</h3>  <p>The addition of content negotiation  allows for serving RDF to clients that request RDF and HTML for clients that request html pages.</p>   <p><strong>""My Family Lineage""</strong> is a Genealogy Application using MediaWiki and the Semantic MediaWiki Bundle.  In addition  we use the Fuseki Triple Store which has a SPARQL query form available at: http://futurewavehosting.com:3030   where one would use the Control Panel and select the dataset my-family-lineage.  The website is community driven and through the import of GEDCOM files (Genealogical Data Communication) wiki pages are created  an accompanying RDF file is created and the data is added to the triple store. </p><br />  <p> We use the latest GEDCOM standard version 5.5 which is used by various Genealogy software applications.  </p>    <p>We have a void file available at: http://my-family-lineage.com/void.ttl   which provides information about vocabularies used  licensing  example resources  and link sets.  </p>    <p>We collect information about Places that correspond to events in an individual/person's life or in the life of a family.  It is here that there are the most triples linking to other data sets that are part of the current LOD Cloud.  Nearly 50 000 triples describe Places  of those over 7300 triples are links to external data sets  including dbpedia  geonames  freebase and yago.</p>    <p>We have included a great deal of information from public genealogy (GEDCOM) files including the genealogy of famous people  e.g. royalty  US Presidents  Authors like Stephen King and more. </p>",deref-vocab; family history; format-bio; format-dbpedia-owl; format-foaf; format-rdf; format-rdfs; format-rel; genealogy; geographic; license-metadata; lod; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-producer; relationships; usergeneratedcontent,https://lod-cloud.net/dataset/my-family-lineage,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
national-diet-library-authorities,Web NDL Authorities - National Diet Library of Japan,Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS  SKOS-XL  DC and RDA Elements G2. Records are linked to LCSH  VIAF etc. with SKOS mapping properties where applicable.,authorities; country-japan; deref-vocab; format-dc; format-rdf; format-skos; government; health; library; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; published-by-producer; subjects,https://lod-cloud.net/dataset/national-diet-library-authorities,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified
national-diet-library-subject-headings,National Diet Library of Japan subject headings,duplicate:national-diet-library-authorities,duplicate; lodcloud-diagram-2011-09-19; meta.duplicate,https://lod-cloud.net/dataset/national-diet-library-subject-headings,cultural heritage,tangible-movable,DESC,,,cultural heritage,not classified 
nomisma_org,Nomisma.org,Nomisma.org is an international collaborative project to define the intellectual concepts of numismatics following the principles of Linked Open Data,numismatics,https://lod-cloud.net/dataset/nomisma_org,,,,NO,,,cultural heritage
orlando-womens-writing-linked-open-data-set,The Orlando Women's Writing Linked Open Data Set,A linked open data set created from the original entries of the Orlando Project  an ongoing collaborative experiment in the use of computers to engage in women's literary history.,LOD; Litterature; Women; deref-vocab; format-cwrc; license-metadata; lod; provenance-metadata; published-by-third-party; vocab-mappings,https://lod-cloud.net/dataset/orlando-womens-writing-linked-open-data-set,cultural heritage,tangible-movable,WEBSITE,NO,,cultural heritage,not classified
pali-english-lexicon,Pali English Lexicon,A lexicon from Pali to English.,culturalheritage; deref-vocab; format-owl; format-rdf; format-rdfs; geographic; license-metadata; llod; lod; lodcloud.nolinks; lodcloud.unconnected; provenance-metadata; published-by-third-party,https://lod-cloud.net/dataset/pali-english-lexicon,cultural heritage,,KEYWORDS,NO,,cultural heritage,linguistic
printed-book-auction-catalogues,English Language Books listed in Printed Book Auction Catalogues from 17th Century Holland,The books are those listed in the English language section of Dutch printed book auction catalogues of collections of scholars and religious ministers. In some cases  the prior owner of the books listed was from England; in others they were of dutch nationality. For more information about printed book auction catalogues  see http://bibliopolis.nl,auction; bibliographic; book; catalogue; deref-vocab; dutch; english; format-rdf; format-rdfs; historical; holland; license-metadata; lld; lod; lodcloud-diagram-2011-09-19; no-vocab-mappings; printed; provenance-metadata; publications; published-by-third-party; puritans,https://lod-cloud.net/dataset/printed-book-auction-catalogues,,,,NO,,,cultural heritage
rdfize-lastfm,"Last.FM RDFization of Events, Artists, and Users",A Linked Data wrapper around some of the last.fm API.,format-foaf; format-rdf; format-vcard; lastfm; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; music; no-license-metadata; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party,https://lod-cloud.net/dataset/rdfize-lastfm,cultural heritage,intangible,TITLE,NO,,cultural heritage,not classified
remote_Sensing,Land use merced dataset,This is a 21 class land use image dataset meant for research purposes.  There are 100 images for each of the following classes:  agricultural airplane baseballdiamond beach buildings chaparral denseresidential forest freeway golfcourse harbor intersection mediumresidential mobilehomepark overpass parkinglot river runway sparseresidential storagetanks tenniscourt Each image measures 256x256 pixels.  The images were manually extracted from large images from the USGS National Map Urban Area Imagery collection for various urban areas around the country. The pixel resolution of this public domain imagery is 1 foot.,,https://lod-cloud.net/dataset/remote_Sensing,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified
rism,Répertoire International des Sources Musicales - RISM,Répertoire International des Sources Musicales (RISM) is an international  non-profit organization with the aim of comprehensively documenting extant musical sources anywhere in the world.     The dataset offered here contains over 870 000 records  mostly for music manuscripts. These records hand down the works of some 27 000 composers  whose sources are preserved in the libraries and archives of 36 countries.,bibliographic; format-bibo; format-dc; format-dcterms; library; license-metadata; lld; lod; music; music-encoding; rdf,https://lod-cloud.net/dataset/rism,cultural heritage,intangible,DESC,NO,,cultural heritage,
rism-authorities,RISM Authority data,"Authority data used in the ([RISM catalogue](https://opac.rism.info ""RISM Opac"")  [dataset description](http://datahub.io/dataset/rism ""Dataset description for RISM Opac"")). It contains information about persons  organisations and literary works.",authorities; library; license-metadata; literature; lld; lod; organisations; persons; rdf,https://lod-cloud.net/dataset/rism-authorities,,,,NO,,,cultural heritage
salzburgerland-com-de,Salzburgerland DE,Salzburgerland dataset for German resources  built with WordLift from the website https://www.salzburgerland.com/de/,travel; wordlift; salzbugerland,https://lod-cloud.net/dataset/salzburgerland-com-de,cultural heritage,natural,DESC,NO,,cultural heritage,not classified - tourism
srcmf,Syntactic Reference Corpus of Medieval French (SRCMF),The SRCMF contains the 15 Old French texts with about 280000 words. It has a high-quality manual annotation  based on a linguistically adequate dependency grammar. Annotation data is provided as RDF/XML. Available export formats are CONLL and TigerXML. The final revision of the texts is ongoing and will be finished by the end of 2013. The project was funded by the Agence Nationale de la Recherche (ANR  France) and the Deutsche Forschungsgemeinschaft (DFG  Germany) 2009-2012.,corpus; linguistics; llod; lod; lrec-2014; old-french; syntax,https://lod-cloud.net/dataset/srcmf,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,linguistic
sudocfr,Sudoc bibliographic data,Source : [Sudoc](http://www.sudoc.abes.fr)    Sudoc is the French academic union catalogue  maintained by ABES    Size : 10 millions bibliographic records    [Documentation](http://documentation.abes.fr/sudoc/manuels/administration/sudoc_rdf/index.html)    Vocabularies : Dublin Core  FOAF  BIBO  RDA  ISBD  etc.    Licensing : Licence ouverte / Open licence (http://www.etalab.gouv.fr/pages/Licence_ouverte_Open_licence-5899923.html),bibliographic; format-rdf; format-skos; france; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-proprietary-vocab; provenance-metadata; publications; published-by-producer; rdf; sudoc; unioncatalogue,https://lod-cloud.net/dataset/sudocfr,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,papers
surge-radio,Surge Radio,Has RDF descriptions of featured artists and tracks  derived from package:musicbrainz,format-event; format-foaf; format-mo; format-rdf; lod; lodcloud-diagram-2011-09-19; media; music; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party,https://lod-cloud.net/dataset/surge-radio,cultural heritage,intangible,DESC,NO,,cultural heritage,music > cultural heritage
taxonconcept,TaxonConcept Knowledge Base,Species are known by many different names. The TaxonConcept Knowledge Base provides informative Linked Open Data URI's for species concepts that improve the quality and stability of links between a species and data about that species. There are currently 108 175 species concepts and a and 1 000 records for species occurrences. There are also a few examples of references  and image galleries. I have added links below for an insect  mammal  bird and tree to serve as examples of the interlinking etc. The occurrence records are interlinked with GeoNames.     A species can have several different classifications  for instance it's classification in NCBI and DBpedia  are different. To allow multiple classifications  the species model is separate from any specific classification. However many want these two aspects connected together. To make this easy  I have created an additional owl:sameAs RDF dump file which makes the #Taxonomy the same as the #Species. This is particularly useful for browsing SPARQL query results with Microsoft Pivot. In addition  it is also possible to create similar mapping files that can be used to   tie the species to alternative classifications.    The data set and related vocabularies have been changed as of June 11  2013. See the sitemap.xml or void file for the full list of RDF dumps,biodiversity; deref-vocab; format-bibo; format-cc; format-dbo; format-dbpedia; format-dc; format-foaf; format-geo; format-geonames; format-geospecies; format-owl; format-rdf; format-rdfs; format-skos; format-time; format-txn; format-umbel; format-wdrs; format-wo; geographic; license-metadata; lifesciences; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-producer; sparql-endpoint; void-sparql-endpoint,https://lod-cloud.net/dataset/taxonconcept,cultural heritage,natural,DESC,NO,,cultural heritage,"cultural heritage, health"
taxonconcept-assets,taxonconcept-assets,Descriptions of pictures showing species,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-cc; format-dcterm; format-foaf; format-pos; format-rdf; format-rdfs; format-wdrs; lifesciences; lodcloud-diagram-2014-08-30; non-deref-vocab,https://lod-cloud.net/dataset/taxonconcept-assets,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,"cultural heritage, health"
taxref-ld,TAXREF-LD: Knowledge Graph of the French taxonomic registery,TAXREF-LD is the Linked Data knowledge graph representing TAXREF (https://inpn.mnhn.fr/programme/referentiel-taxonomique-taxref?lg=en)  the French national taxonomical register for fauna  flora and fungus  that covers mainland France and overseas territories. In version 15  TAXREF-LD registers 657 000+ scientific names and 199 000+ species.  TAXREF-LD is a joint initiative of the National Museum of Natural History (http://www.mnhn.fr/) and the I3S laboratory (http://www.i3s.unice.fr/) (University Côte d'Azur  CNRS  Inria). The model is described in [1].  [1] Michel F.  Gargominy O.  Tercerie S. & Faron-Zucker C. (2017). A Model to Represent Nomenclatural and Taxonomic Information as Linked Data. Application to the French Taxonomic Register  TAXREF. In _Proceedings of the 2nd International Workshop on Semantics for Biodiversity (S4BioDiv) co-located with ISWC 2017_ vol. 1933. Vienna  Austria. CEUR.,biodiversity; deref-vocab; fauna; flora; format-dc; format-dwc; format-foaf; format-geonames; format-geospecies; format-ncbitaxon; format-rdf; format-rdfs; format-skos; format-txn; license-metadata; lifesciences; lod; provenance-metadata; published-by-third-party; schemata; species; taxonomy; vocab-mappings,https://lod-cloud.net/dataset/taxref-ld,cultural heritage,natural,DESC,NO,,cultural heritage,"cultural heritage, health"
the-view-from,The View From,A set of data about photos of the view from various places,format-dc; format-rdf; geographic; lod; lodcloud.unconnected; no-deref-vocab; photo; photography; published-by-third-party; tourism; usergeneratedcontent; void-sparql-endpoint,https://lod-cloud.net/dataset/the-view-from,,,,NO,,,cultural heritage
thesaurus-w,Thesaurus W for Local Archives,This dataset includes four authority lists (subject headings  historical contexts  actions and document types) used to describe material in French local archives.,format-rdf; format-skos; lld; lod; no-proprietary-vocab; publications; published-by-producer,https://lod-cloud.net/dataset/thesaurus-w,,,,NO,,,cultural heritage
thist,ThIST,ThIST is the Italian Thesaurus of Sciences of the Earth  which has been exposed as Linked Data in the context of LusTRE  a framework currently under development within the EU project eENVplus (CIP-ICT-PSP grant No. 325232) that aims at combining existing thesauri to support the management of environmental resources. LusTRE considers the heterogeneity in scopes and levels of abstraction of environmental thesauri as an asset when managing environmental data  it exploits linked data best practices SKOS  (Simple Knowledge Organization System) and RDF  (Resource Description Framework) in order to provide a multi-thesauri solution for INSPIRE data themes related to the environment.   The ThIST content is made available by Geological Survey of Italy in ISPRA  (Istituto Superiore per la  Protezione e la Ricerca Ambientale). It is the result of a nearly total revision of the thesaurus born by the integration among the terminological database of the former Library of the Italy Geological Service  and the thesaurus published by the CNR in 1997. ThIST is already used for the cataloguing of the biblio-cartographic material (monographs  articles of periodicals  papers) possessed by the Library and the recovery of the related information.  The ThIST content is made available by ISPRA (Istituto Superiore per la  Protezione e la Ricerca Ambientale). It is the result of a nearly total revision of the thesaurus born by the integration among the terminological database of the former Library of the Italy Geological Service  and the thesaurus published by the CNR in 1997. ThIST is already used for the cataloguing of the biblio-cartographic material (monographs  articles of periodicals  papers) possessed by the Library and the recovery of the related information.,format-skos; geographic; license-metadata; lld; lod; lodcloud-diagram-2014-08-30; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party; schemata; thesaurus,https://lod-cloud.net/dataset/thist,cultural heritage,natural,DESC,NO,,cultural heritage,not classified
tip,TIP,A SPARQL endpoint of Taiwan Indigenous People provides Taiwan Indigenous people information  including 6 major subjects : [Ethnic](http://lod.apc.gov.tw:8890/schemas/Ethnic_Introduction/)  [Culture](http://lod.apc.gov.tw:8890/schemas/Cultural_Creative/)  [Travel](http://lod.apc.gov.tw:8890/schemas/Travel/)  [Gourmet](http://lod.apc.gov.tw:8890/schemas/Gourmet/)  [Ceremony](http://lod.apc.gov.tw:8890/schemas/Ceremony/) and [Business] (http://lod.apc.gov.tw:8890/schemas/Business/).,Indigenous People; Taiwan; aboriginal; government; indigenous; lod,https://lod-cloud.net/dataset/tip,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
ub-mannheim-linked-data,Linked Data Service der Universitätsbibliothek Mannheim,Publishes RDF for a number of bibliographic resources:    * Bibliograhic data of the Südwestdeutscher Bibliotheksverbund (SWB)  * Bibliographic data of the Hessisches Bibliotheksinformationssystem (HeBIS)  * Classifications of the Regensburger Verbundklassifikation (RVK)  * Bibliographic data of the Hochschulbibliothekszentrum des Landes Nordrhein-Westfalen (HBZ),bibliographic; deref-vocab; format-dc; format-rdf; format-skos; format-xhtml; germany; library; lld; lod; no-license-metadata; no-provenance-metadata; no-vocab-mappings; publications; published-by-producer,https://lod-cloud.net/dataset/ub-mannheim-linked-data,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,education
umthes,German environmental thesaurus UMTHES,A German-centric thesaurus about environmental protection  maintained by the Federal Environment Agency  Germany. Includes English translations of most terms.,government; environment; thesaurus; format-rdf; format-skos; format-xhtml; published-by-producer; access-api; rdf; search; access-www,https://lod-cloud.net/dataset/umthes,cultural heritage,natural,WEBSITE,NO,,cultural heritage,not classified - government
wasabi,WASABI RDF Knowledge Graph,The WASABI RDF Knowledge Graph provides an RDF representation of the WASABI song corpus  a corpus of 2M+ songs enriched with metadata extracted from music databases on the Web  and resulting from the processing of song lyrics and from audio analysis.,music; metadata; lyrics analysis; linked data; audio analysis; song,https://lod-cloud.net/dataset/wasabi,cultural heritage,intangible,DESC,NO,,cultural heritage,
yso-paikat,YSO places,YSO places is a bi-lingual general geographic gazetteer.  It includes administrative and other regions as well as natural locations and places based on the needs of GLAM organistions .  Places refer to Finnish and external  both modern and historic places. Hierarchies are built by partOf relationships.,Finland; places; locations; regions; countries; cities; villages; lakes; rivers,https://lod-cloud.net/dataset/yso-paikat,,,,NO,,,cultural heritage
