title,keywords,description,,url,Topic,Sub classification,_id
Kronika naukowa Biblioteki Uniwersyteckiej w Łodzi,,Kronika,,https://lod-cloud.net/dataset/Kronika_naukowa_Biblioteki_Jagiellońskiej,Education,,Kronika_naukowa_Biblioteki_Jagiellońskiej
Ontos News Portal,linguistics; llod; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; news; nlp; no-deref-vocab; published-by-producer; rdf; semantic-web,The Ontos News Portal extracts facts (objects as e. g. persons or organizations as well as relations between them  e. g. a person is working for an organization or living at a location). The facts are merged together and build a huge information-network including references to the respective articles. The portal can manually be searched at news.ontos.com. For all objects  Ontos provides dereferencable GUIDs. The interface at www.ontosearch.com allows to easily generate RDF/XML or HTML information.,,https://lod-cloud.net/dataset/ontos-news-portal,SLR,,ontos-news-portal
Atlante Sintattico d'Italia (ASIt),Italian; corpus; dialect; linguistics; llod; lod; questionnaire; syntax,"The Atlante Sintattico d'Italia  Syntactic Atlas of Italy (ASIt) enterprise builds on a long standing tradition of collecting and analysing linguistic corpora  which has originated different efforts and projects over the years. ASIt accounts for minimally different variants within a sample of closely related languages  thus it does not need a thorough part of speech (POS) disambiguation  since the ""trivial"" identification of basic POS (e.g. Nouns vs Verbs) is not enough to capture cross-linguistic differences between closely related languages. Secondly  the linguistic variants cannot be reduced to lexical distinctions only  i.e. syntactic differences are in general unpredictable on the basis of the properties of single lexical items. A specific tag set designed to capture sentence-level phenomena without taking into consideration POS tags is needed. As a consequence  while other tag sets are designed to carry out a gross linguistic analysis of a vast corpus  the ASIt tag set aims to capture fine-grained grammatical differences by comparing various dialectal translations of the same sentence. Moreover  in order to pin down these subtle asymmetries  the linguistic analysis must be carried out manually.    To explain why the needs for ASIt are so special we have to take into consideration two different aspects: the nature of Italian dialects  and the kind of linguistic theory ASIt aims to interact with. The Italian dialectal area presents a kind of variation that involves parametric choices affecting many general aspects of syntax  morphology  and phonology. The kind of information we want to gather involves not only the presence of a certain element  but also the absence of an element; an element can be omitted only in some constructions and in conjunction with specific characteristics of the language. For this reason  ASIt proposed the creation of a specific set of tags starting from a universal core shared by all languages (on the basis of the work done by DynaSAND)  and subsequently developing a language-specific periphery which is compatible with other projects.    Dialectal data stored in the ASIt were gathered during a twenty-year-long survey investigating the distribution of several grammatical phenomena across the dialects of Italy. These data and information were collected by means of questionnaires formed by sets of Italian sentences: dialectal speakers were asked to translate them into their dialects and write their translations in the questionnaire; therefore  each questionnaire is associated with many parallel dialectal translations. At present  there are eight different questionnaires written in Italian and almost 500 questionnaires  corresponding to the eight Italian questionnaires  written in more than 240 different dialects  for a total of more than 54 000 sentences and more than 40 000 tags stored in the data resource managed by the ASIt digital library system.",,https://lod-cloud.net/dataset/asit,SLR,,asit
UN/LOCODE (RKBExplorer),deref-vocab; format-akt; format-akts; format-dc; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,,,https://lod-cloud.net/dataset/rkb-explorer-unlocode,cultural heritage,,rkb-explorer-unlocode
EIONET RDF Data,eea; eionet; environment; europe; format-rdf; government; lod; lodcloud-diagram-2014-08-30; published-by-producer,Various data sets in RDF format collected by the [European Environment Agency](http://www.eea.europa.eu/) as part of the [European Environment Information and Observation Network](http://eionet.europa.eu/) (EIONET).    An overview of available datasets can be obtained from the [VoID file](http://rdfdata.eionet.europa.eu/void.rdf).,,https://lod-cloud.net/dataset/eionet-rdf,cultural heritage,,eionet-rdf
Syntactic Reference Corpus of Medieval French (SRCMF),corpus; linguistics; llod; lod; lrec-2014; old-french; syntax,The SRCMF contains the 15 Old French texts with about 280000 words. It has a high-quality manual annotation  based on a linguistically adequate dependency grammar. Annotation data is provided as RDF/XML. Available export formats are CONLL and TigerXML. The final revision of the texts is ongoing and will be finished by the end of 2013. The project was funded by the Agence Nationale de la Recherche (ANR  France) and the Deutsche Forschungsgemeinschaft (DFG  Germany) 2009-2012.,,https://lod-cloud.net/dataset/srcmf,linguistic,vocabulary,srcmf
Hellenic Police,country-greece; format; format-akt; format-dc; format-dcterms; format-foaf; format-geo; format-owl; format-rdf; format-rdfs; format-skos; format-void; government; greece; greek; hellenic; hellenic-police; license-metadata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-proprietary-vocab; police; provenance-metadata; published-by-producer; sparql; sparql-endpoint; void-sparql-endpoint,The Hellenic Police project encompasses efforts to extract valuable information from Greek Open Data originating from the Ministry of Public Order & Citizen Protection and in particular from the Hellenic Police Department. It involves mainly crime incidents and aims to exploit these in the best possible manner so as to form meaningful scenarios. The primary goal is to provide applications and services that would reveal potentials for the department to improve upon its management procedures  have economic benefits from cost reductions and improvements in its crime prevention efficiency.  A secondary but equally important goal is to encourage additional contributions of Greek Open Data as well as of innovative applications and services based on the latter.,,https://lod-cloud.net/dataset/hellenic-police,cultural heritage,,hellenic-police
Universal Dependencies Treebank Latin-PROIEL,corpus; linguistics; lod,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Latin-PROIEL treebank.,,https://lod-cloud.net/dataset/universal-dependencies-treebank-latin-proiel,linguistics,corpora,universal-dependencies-treebank-latin-proiel
Linked Open Computer Vision,computer vision; format-con; format-conv; format-dc; format-dcat; format-doap; format-foaf; format-oboro; format-opm; format-ov; format-pml; format-pmlj; format-pmlp; format-prov; format-rdf; format-rdfs; format-sd; format-vann; format-void; linked data,Interconnecting computer vision datasets,,https://lod-cloud.net/dataset/locv,ML,,locv
Italian public schools (LinkedOpenData.it),country-italy; education; format-rdf; format-vcard; license-metadata; linkeddata; lod; lodcloud-diagram-2011-09-19; lodcloud.nolinks; no-proprietary-vocab; no-vocab-mappings; pre-schools; provenance-metadata; publications; published-by-producer; void-sparql-endpoint,Contains addresses  type  contacts and other info about more 50.000 public schools in italy.    The dataset is currently in alpha stage: its quality needs to be improved and schools are not yet georeferenced.    More information at [http://www.linkedopendata.it/datasets/scuole](http://www.linkedopendata.it/datasets/scuole),,https://lod-cloud.net/dataset/italian-public-schools-linkedopendata-it,education,,italian-public-schools-linkedopendata-it
Geological Timescale,stratigraphy; geology; timescale; chronology; reference system; time,RDF representation of the Geological Timescale  as described in the International Chronostratigraphic Chart from the International Commission on Stratigraphy.,,https://lod-cloud.net/dataset/GTS,cultural heritage,,GTS
opendatacommunities-societal-wellbeing-deprivation-imd-rank-2010,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; dump; format-cube; format-dcat; format-dcterm; format-rdf; format-rdfs; format-void; government; license-metadata; lodcloud-diagram-2014-08-30; provenance-metadata; sparql,,,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-rank-2010,unclassified,,opendatacommunities-societal-wellbeing-deprivation-imd-rank-2010
eagle-i @ Morehouse School of Medicine,deref-vocab; format-bibo; format-dc; format-ero; format-foaf; format-ncbitaxon; format-oboso; format-pobo; format-ro; format-vivo; lifesciences; lod; provenance-metadata; published-by-producer; vocab-mappings,Groundbreaking biomedical research requires access to cutting edge scientific resources; however such resources are often invisible beyond the laboratories or universities where they were developed. eagle-i is a national research resource discovery platform to help biomedical scientists search for and find previously invisible  but highly valuable  resources.   Resource descriptions collected at each participating institution are freely available as linked open data.  See: http://www.eagle-i.net/,,https://lod-cloud.net/dataset/eagle-i-msm,Education,Education,eagle-i-msm
Country Name Authority List,controlled vocabulary; country; countries; geography,"This country codes authority table is intended to provide a code related to the names of the countries – in a short and in a long form – in the 24 official languages of the European Union.These codes are used for the documentary metadata and may present slight differences with those used for the production of documents at a stylistic level.  The ""Authority code"" relays on the ISO 3166-1/alpha-3 positions. If the ISO code doesn't exist  an alpha-numeric code is created. A traceability of this codes creation is ensured and historical relationships are also offered as from 1950 till now with the date(s) of event(s).  A country code comparison is provided between ISO codes  IANA codes (Internet ccTLDS – Country-code Top-level Domains)  and TIR (Transport International par la Route) Vehicle system codes.  Codes marked in italic are obsolete and should not be used  excepted in the case of back-log work.  ISO 3166 is the International standard for country codes. The purpose of ISO 3166 is to establish codes for the representation of names of countries. This standard exists in three forms:      ISO 3166-1 (2006) contains a two-letter code which is recommended as the general purpose code  a three-letter code which has better mnenomic properties and a numeric-3 code which can be useful if script independence of the codes is important.     ISO 3166-2 (2007) gives codes for the names of the principal subdivisions (e.g provinces or states) of all countries coded in ISO 3166-1. This code is based on the two-letter code element from ISO 3166-1 followed by a separator and a further string of up to three alphanumeric characters.     ISO 3166-3 (1999) contains a four-letter code for those country names which have been deleted from ISO 3166-1 since its first publication in 1974. The code elements for formerly used country names have a length of four alphabetical characters (alpha-4 code elements).  The ISO 3166-1 is also used by the EU Geonomenclature of the Statistical Office  the UN/LOCODE  the World Intellectual Property Organisation (WIPO)  the International Atomic Energy Agency (IAEA)  the Internet Assigned Authority Numbers (IANA) and more other organisations.",,https://lod-cloud.net/dataset/country-authority-list,unclassified,,country-authority-list
Bio2RDF::Clinicaltrials,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,ClinicalTrials.gov is a registry and results database of publicly and privately supported clinical studies of human participants conducted around the world.,,https://lod-cloud.net/dataset/bio2rdf-clinicaltrials,Publications,Publications,bio2rdf-clinicaltrials
Covid19 Impact on Banking ontology (Covid19-IBO),Covid19; banking; disease; person,Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,,https://lod-cloud.net/dataset/Bioportal,SLR,,Bioportal
Bio2RDF::Iproclass,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,The iProClass database provides value-added information reports for UniProtKB and unique UniParc proteins  with links to over 90 biological databases  including databases for protein families  functions and pathways  interactions  structures and structural classifications  genes and genomes  ontologies  literature  and taxonomy.,,https://lod-cloud.net/dataset/bio2rdf-iproclass,health,Biochemistry,bio2rdf-iproclass
Airport data from Our Airports published as RDF,ckanupload.esw.200910; format-rdf; geographic; lodcloud-diagram-2011-09-19; no-deref-vocab; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; rdf,### Description    Data exposed: Information about airports  originally from package:ourairports  here re-published as RDF.    Notes: Dump available by contact    ### Issues    The dataset does not appear to be actively maintained. There are quality issues with the owl:sameAs links.,,https://lod-cloud.net/dataset/data-incubator-our-airports,Geography,Geography,data-incubator-our-airports
ICD-10-PCS,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,ICD-10-PCS is a medical classification coding system for procedural codes.,,https://lod-cloud.net/dataset/bioportal-icd10pcs,unclassified,,bioportal-icd10pcs
geodomainwn,Linguistic Dataset LOD RDF,This dataset contains the geographical resource  geonames  in a wordnet-like picture. They are 657 concepts extracted from the GLOSS Project. Available in English and Italian.   Also a lemonization (lemon model),,https://lod-cloud.net/dataset/geodomainwn,linguistics,lexicon,geodomainwn
ISIL->DBpedia,dbpedia; library; organisations; organizations; wikipedia,"This package contains BEACON files linking [http://lobid.org/organisation] (ISIL-URIs) to  international DBpedia and German DBpedia. An ISIL is an ""International Standard Identifier for Libraries and Related Organisations"".  The BEACON was constructed using the [file which automatically extracts the ISIL in the wikipdia infobox](http://ws.gbv.de/wpextract/dewiki-isil.beacon) and some more relations computated through simple pattern matching of the name of the institution and some further heuristics  see https://gist.github.com/2910449 .",,https://lod-cloud.net/dataset/isil-dbpedia,no categorized,no categorized,isil-dbpedia
The Digital Agenda Scoreboard of the European Commission,DataCube; Digital Agenda; European Commission; ICT; Information society; Internet usage; europe; european; format-qb; government; indicators; published-by-third-party; scoreboard; statistics,European Commission services have selected around 60 indicators  divided into thematic groups  which illustrate some key dimensions of the European information society.,,https://lod-cloud.net/dataset/scoreboard,Technology,,scoreboard
Universal Dependencies Treebank Russian,corpus; linguistics; lod,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Russian treebank.,,https://lod-cloud.net/dataset/universal-dependencies-treebank-russian,linguistics,corpora,universal-dependencies-treebank-russian
Persée in RDF,dataset-collection; deref-vocab; format-bibo; format-biro; format-cito; format-dcterms; format-foaf; format-marcrel; format-rda; format-rdf; format-schema; format-skos; license-metadata; lod; pedagogic-material; provenance-metadata; publications; published-by-producer; sparql-endpoint; vocab-mappings,![data.persee.fr](http://data.persee.fr/cropped-Logo-data.persee_petit.png)    [data.persee.fr](http://data.persee.fr) is a triplestore opened in 2017. It gathers all the metadata produced by Persée and makes it available in a structured way (RDF graph) according to the semantic web principles (DCMI  FRBR  FOAF  CITO  BIBO  SKOS). The mapping between Persée’s data and international information systems enables the researchers to explore Persée database and to link to data offered by the library community (IdRef  data.bnf.fr  etc.)  the scientific community (the Cairo Gazetteer  the Global Biodiversity Information Facility - GBIF) and other crowded sources (DBpedia),,https://lod-cloud.net/dataset/data-persee-fr,Education,,data-persee-fr00000192d3409f33
opendatacommunities-societal-wellbeing-deprivation-imd-rank-2007,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; dump; format-cube; format-dcat; format-dcterm; format-rdf; format-rdfs; format-void; government; license-metadata; lodcloud-diagram-2014-08-30; provenance-metadata; sparql,,,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-rank-2007,,,opendatacommunities-societal-wellbeing-deprivation-imd-rank-2007
test-svu,,test-svu,,https://lod-cloud.net/dataset/test-svu,,,test-svu
Polictical History of Pakistan,,National Assembly,,https://lod-cloud.net/dataset/http:pakistan.com,cultural heritage,,http:pakistan.com
Evaluation of VaVaI results for 2013,deref-vocab; format-dcterms; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,Data cube containing data about evaluation of results in VaVaI for 2013.,,https://lod-cloud.net/dataset/cz-vavai-evaluation-2013,cultural heritage,,cz-vavai-evaluation-2013
Yahoo Geoplanet RDF,format-rdf; geodata; geographic; lodcloud-diagram-2011-09-19; published-by-third-party,This is a Linked Data version of the publically available data dumps from the Yahoo! GeoPlanet database. GeoPlanet helps bridge the gap between the real and virtual worlds by providing an open  permanent  and intelligent infrastructure for geo-referencing data on the Internet. By exposing it as Linked Data we enable additional cross-linking between more data sources.    *Note* this RDF version of the dataset is no longer updated  it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi),,https://lod-cloud.net/dataset/yahoo_geoplanet,cultural heritage,,yahoo_geoplanet
"Human developmental anatomy, abstract version",biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,A structured controlled vocabulary of stage-specific anatomical structures of the human. It has been designed to mesh with the mouse anatomy and incorporates each Carnegie stage of development (CS1-20). The abstract version of the human developmental anatomy ontology compresses all the tissues present over Carnegie stages 1-20 into a single hierarchy. The heart  for example  is present from Carnegie Stage 9 onwards and is thus represented by 12 EHDA IDs (one for each stage). In the abstract mouse  it has a single ID so that the abstract term given as just <i>heart</i> really means <i>heart (CS 9-20)</i>. Timing details will be added to the abstract version of the ontology in a future release.,,https://lod-cloud.net/dataset/bioportal-ehdaa,health,Human biolohy/Animal Sciences,bioportal-ehdaa
English Index of Multiple Deprivation Score 2010,crime; department-of-infrastructure-transport-regional-development-and-local-government; deprivation; deref-vocab; education; employment; environment; geographic; government; health; housing; imd; license-metadata; linkeddata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,"This dataset contains the main Index of Multiple Deprivation scores for 2010. It was created from data provided by the Department of Communities and Local Government. See <a href=""http://www.communities.gov.uk/publications/corporate/statistics/indices2010"">here</a> for details.    194892 triples.",,https://lod-cloud.net/dataset/english-index-of-multiple-deprivation-score-2010,cultural heritage,,english-index-of-multiple-deprivation-score-2010
Princeton Library FindingAids,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-dcterm; format-dctypes; format-foaf; format-open; format-rdf; format-time; format-vcard2006; lodcloud-diagram-2014-08-30; non-deref-vocab; provenance-metadata; publications,Use this site to explore descriptions of our unique holdings at the Princeton University Libraries  which include manuscripts  archival collections  images  ephemera  and much more one-of-a-kind material.,,https://lod-cloud.net/dataset/princeton-library-findingaids,cultural heritage,,princeton-library-findingaids
VIVO WUSTL,deref-vocab; education; format-rdf; format-rdfs; format-vitro; lod; no-license-metadata; no-provenance-metadata; no-vocab-mappings; publications; published-by-producer; science; social-networks; vivo,VIVO is a research-focused discovery tool that enables collaboration among scientists across all disciplines.    Browse or search information on people  departments  courses  grants  and publications.,,https://lod-cloud.net/dataset/vivo-wustl,education,,vivo-wustl
Medaka fish anatomy and development,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,A structured controlled vocabulary of the anatomy and development of the Japanese medaka fish  <i>Oryzias latipes</i>.,,https://lod-cloud.net/dataset/bioportal-mfo,health,Zology,bioportal-mfo
CrossRef DOI Resolver,academic; articles; citation; format-bibo; format-dc; format-prism; format-rdf; library; linkeddata; lld; lod; lodcloud-diagram-2014-08-30; no-deref-vocab; publications; published-by-producer,"Digital Object Idenfiers (DOI) are a persistent identifier strategy used by around 3 000 publishers to identify their documents: mostly scholarly publications. An example of a DOI is    > doi:10.1038/171737a0    which identifies:    > Watson JD  Crick FH (April 1953). ""Molecular structure of nucleic acids; a structure for deoxyribose nucleic acid"" (PDF). Nature 171 (4356): 737?738.     [CrossRef](http://crossref.org) maintains one of the largest DOI registries  and has minted URLs for every DOI they manage. For example the DOI above can also be expressed as the URL:    > http://dx.doi.org/10.1038/171737a0    When resolved this URL will redirect to the publisher's page for the document that is identified. The dx.doi.org service will content negotiate to make available alternate representations of the citation metadata:    * application/rdf+xml  * text/turtle  * application/atom+xml  * application/unixref+xml (CrossRef's homegrown XML format)    For example:    > curl --location --header ""Accept: application/rdf+xml"" http://dx.doi.org/10.1038/171737a0    Detailed information about journals  pages  authors can be found in the data  as well as links to journals in the [Linked Periodicals](http://periodicals.dataincubator.org/.html) dataset. More about the service can be found on a CrossRef   [blog post](http://www.crossref.org/CrossTech/2011/04/content_negotiation_for_crossr.html).",,https://lod-cloud.net/dataset/doi,Linguistics,Linguistics,doi
Community R&D Information Service (CORDIS) (RKBExplorer),deref-vocab; format-akt; format-rdf; government; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; published-by-third-party; void-sparql-endpoint,,,https://lod-cloud.net/dataset/rkb-explorer-cordis,Education,,rkb-explorer-cordis
Universal Dependencies Treebank Czech-CAC,corpus; linguistics; lod,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Czech-CAC treebank.,,https://lod-cloud.net/dataset/universal-dependencies-treebank-czech-cac,linguistics,corpora,universal-dependencies-treebank-czech-cac
LiLa Lemma Bank,Lemma; LLOD; Latin; Lexicon; Canonical forms; LiLa,The Lemma Bank is a collection of approximately 200 000 canonical forms for Latin that is used to interlink the linguistic resources in the LiLa Knowledge Base. The canonical forms are modeled using the Ontolex ontology.,,https://lod-cloud.net/dataset/LemmaBank,linguistics,Dictionary,LemmaBank0000018b2422ae96
PeriodO Period Gazetteer,archaeology; deref-vocab; format-dcterms; format-skos; format-time; history; license-metadata; lod; no-vocab-mappings; periodization; provenance-metadata; published-by-producer; schemata,[PeriodO](http://perio.do) is a gazetteer of scholarly definitions of historical  art-historical  and archaeological periods. It eases the task of linking among datasets that define periods differently. It also helps scholars and students see where period definitions overlap or diverge.,,https://lod-cloud.net/dataset/periodo,Education,,periodo
W3C,LinkedDataCrawl2014; crawledLinkedDataCloud2014; crossdomain; deref-vocab; format-acl; format-admin; format-adms; format-airport; format-bibo; format-c4dm; format-cal; format-cc; format-cert; format-content; format-daml; format-dcterm; format-dctypes; format-doap; format-doc; format-exif; format-foaf; format-formats; format-fowl; format-fresnel; format-grddl; format-icaltzd; format-log; format-oa; format-org; format-owl; format-pos; format-radion; format-rdf; format-rdfs; format-rss; format-sd; format-sioc; format-skos; format-swc; format-swrl; format-te; format-time; format-timeline; format-vann; format-vcard2006; format-voaf; format-vs; format-w3con; format-wdrs; format-wn; format-wot; format-xhv; license-metadata; lodcloud-diagram-2014-08-30; non-deref-vocab; part-deref-vocab; provenance-metadata,,,https://lod-cloud.net/dataset/w3c,unclassified,,w3c
The Drug Interaction Knowledge Base,deref-vocab; drug-drug-interactions; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; medications-safety; no-proprietary-vocab; pharmacoepidemiology; provenance-metadata; published-by-third-party,The Drug Interaction Knowledge Base (DIKB) is clinically-oriented  evidence-based  knowledge base designed to support pharmacoepidemiology and clinical decision support. It contains quantitative and qualitative assertions about drug mechanisms and pharmacokinetic drug-drug interactions for over 60 drugs; primarily psychotropics and HMG-CoA reductase inhibitors (statins). The linked-data version of the DIKB was implemented using emerging practices from the W3C HCLS SIG Linking Open Drug Data and Scientific Discource task forces.,,https://lod-cloud.net/dataset/the-drug-interaction-knowledge-base,health,Medical sciences,the-drug-interaction-knowledge-base
ENTICE Educational Episodes Knowledge Graph,life_sciences; biomedicine; lod; educational_episodes; vr/ux,Knowledge Graph of the Erasmus+ funded project ENTICE (https://entice.eu),,https://lod-cloud.net/dataset/entice-graph,Unclassified,Unclassified,entice-graph
statusnet-hii-co-il,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-bio; format-foaf; format-pos; format-rdf; format-rdfs; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://hii.co.il,,https://lod-cloud.net/dataset/statusnet-hii-co-il,unclassified,,statusnet-hii-co-il
The View From,format-dc; format-rdf; geographic; lod; lodcloud.unconnected; no-deref-vocab; photo; photography; published-by-third-party; tourism; usergeneratedcontent; void-sparql-endpoint,A set of data about photos of the view from various places,,https://lod-cloud.net/dataset/the-view-from,cultural heritage,,the-view-from
Face Link,,Face,,https://lod-cloud.net/dataset/Face_Link,Unclassified,,Face_Link
GovWILD - Government Web Integration for Linked Data,format-rdf; gov; government; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-deref-vocab; opendatachallenge; published-by-third-party,GovWILD integrates Open Government Data about politicians  parties  government agencies  funds  companies  and industrial leaders into a clean and consistent data set. This interlinked data is visualized on a Web interface to be explored by citizens and is available for download and further analysis. It can be used to uncover hidden connections between individuals in government and industry  to aggregate financial data  and to deep-dive into the network of politics and industry.,,https://lod-cloud.net/dataset/government-web-integration-for-linked-data,cultural heritage,,government-web-integration-for-linked-data
Community Research and Development Information Service (CORDIS),business; deref-vocab; format-dc; format-foaf; format-rdf; government; latc; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party,The Community Research and Development Information Service (CORDIS) contains information on all EU programmes and projects.,,https://lod-cloud.net/dataset/fu-berlin-cordis,Education,,fu-berlin-cordis
Temple ov thee Lemur,chess; crossdomain; deref-vocab; format-dc; format-foaf; format-owl; format-rdf; games; humour; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-provenance-metadata; no-vocab-mappings; occult; perverse; published-by-producer; tarot,This resource provides 3 groups of RDF datasets. 1. Esoteric subjects such as tarot and alchemy. These all interlink and the Horoscope  Tarot  Planets and Elements sets link into DBPedia resources for Starsigns  Metals  Tarot Suits  Planets  Gems  and the Narnia novels(!)    2. Descriptions of Game States such as tic-tac-toe and chess. Do not attmpt to spider these as they are effectively infinite.    3. Deliberately perverse datasets including Daily Mail cancer. Where possible  the causes and preventions of cancer are linked to their DBPedia indentifiers. Other perverse datasets are considered 'toys' and not linked here. They are listed on the homepage.,,https://lod-cloud.net/dataset/temple-ov-thee-lemur-datasets,cultural heritage,,temple-ov-thee-lemur-datasets
NIF Cell,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,Cell types from NIFSTD,,https://lod-cloud.net/dataset/bioportal-nif_cell,health,cell biology,bioportal-nif_cell
Sherry Wine Vocabulary,,Vocabulary about Sherry Wine,,https://lod-cloud.net/dataset/Sherry_Wine,linguistics,vocabulary,Sherry_Wine
R&D Projects,deref-vocab; format-dcterms; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,R&D Projects from http://www.isvav.cz/ .,,https://lod-cloud.net/dataset/cz-vavai-projects,Education,,cz-vavai-projects
Information Artifact Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,"The Information Artifact Ontology (IAO) is a new ontology of information entities  originally driven by work by the OBI digital entity and realizable information entity branch.<p>  <p><b>To import</b><p>  Latest released version: <a href=""http://purl.obolibrary.org/obo/iao.owl"">http://purl.obolibrary.org/obo/iao.owl</a><p>  <b>Other versions</b><p>  Developer (live) version: <a href=""http://purl.obolibrary.org/obo/iao/dev/iao.owl"">http://purl.obolibrary.org/obo/iao/dev/iao.owl</a><p>  Ontology metadata properties and classes only: <a href=""http://purl.obolibrary.org/obo/iao/dev/ontology-metadata.owl"">http://purl.obolibrary.org/obo/iao/dev/iao.owl</a><p>  <b>Dated versions</b> <ul> <li><a href=""http://purl.obolibrary.org/obo/iao/2009-11-06/iao.owl"">http://purl.obolibrary.org/obo/iao/2009-11-06/iao.owl</a> <li><a href=""http://purl.obolibrary.org/obo/iao/2010-09-14/iao.owl"">http://purl.obolibrary.org/obo/iao/2010-09-14/iao.owl</a> <li><a href=""http://purl.obolibrary.org/obo/iao/2010-10-26/iao.owl"">http://purl.obolibrary.org/obo/iao/2010-10-26/iao.owl</a> <li><a href=""http://purl.obolibrary.org/obo/iao/2011-05-09/iao.owl"">http://purl.obolibrary.org/obo/iao/2011-05-09/iao.owl</a> </ul><p>  <p>Please note: The ontology metrics displayed by BioPortal are incorrect as of 7/23/2011. If you need accurate number you will need to compute them on your own  until further notice. In particular these metrics do not distinguish IAO-developed terms versus terms imported from other ontologies  and do not count existing author or definition annotations  <p><b>Tracker</b>: <a href=""http://purl.obolibrary.org/obo/iao/tracker"">http://purl.obolibrary.org/obo/iao/tracker</a><br> <b>Discussion group</b>: <a href=""http://groups.google.com/group/information-ontology"">http://groups.google.com/group/information-ontology</a>",,https://lod-cloud.net/dataset/bioportal-iao,SLR,publication,bioportal-iao
