,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
25,omwn-cwn,https://lod-cloud.net/dataset/omwn-cwn,Chinese WordNet (as part of Open Multilingual WordNet),The Chinese wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose. The original URL for this project is http://lope.linguistics.ntu.edu.tw/cwn/,lexicon; wordnet; lemon,linguistic,wordnet in the title,,,
132,omwn-cow,https://lod-cloud.net/dataset/omwn-cow,Chinese WordNet (as part of Open Multilingual WordNet),The Chinese wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose. The original URL for this project is http://compling.hss.ntu.edu.sg/cow/,lexicon; wordnet; lemon,linguistic,wordnet in the title,,,
1292,chronicling-america,https://lod-cloud.net/dataset/chronicling-america,Chronicling America,Chronicling America provides access to information about historic newspapers and select digitized newspaper pages.    140 000 newspapers  3.2 million pages.    ### Issues    The statistics below are complete guesses. Link information is incomplete.,format-dc; format-frbr; format-ore; format-rdf; format-rdfs; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; newspaper; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-producer,cultural heritage,historic newspapers in the abstract,,,
355,ciard-ring,https://lod-cloud.net/dataset/ciard-ring,ciard-ring,,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-adms; format-content; format-dcat; format-dcterm; format-doap; format-foaf; format-rdf; format-rdfs; format-sioc; format-skos; lodcloud-diagram-2014-08-30; non-deref-vocab; provenance-metadata; publications,not classified,unclear from title and abstract. publications mentioned in the keywords. empty and inaccessible resource,,,
289,Cine_Figure,https://lod-cloud.net/dataset/Cine_Figure,Cine Figure,Indian publication house,Cine Figure,paper ?,perhaps paper according to publication mentioned in the abstract,empty and inaccessible,,
1222,cinematheque-quebecoise-linked-open-data000001938f9b5a76,https://lod-cloud.net/dataset/cinematheque-quebecoise-linked-open-data,Cinémathèque québécoise Linked Open Data,Free knowledge base hosted by Cinémathèque québécoise about movies.,movie; cinematheque; cinema; cultural heritage; quebec,cultural heritage,movies by the title and abstract. cultural heritage mentioned in the keywords,,,
698,cipfa,https://lod-cloud.net/dataset/cipfa,CIPFA,Chartered Institute of Public Finance and Accountancy,LinkedDataCrawl2014; crawledLinkedDataCloud2014; deref-vocab; format-dcterm; format-rdf; format-rdfs; format-skos; government; lodcloud-diagram-2014-08-30,not classified - government,,,,
960,rkb-explorer-citeseer,https://lod-cloud.net/dataset/rkb-explorer-citeseer,CiteSeer (Research Index) (RKBExplorer),,deref-vocab; format-dc; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,paper/SLR,cite is mentioned in the title. inaccessible resource,,,
171,data-incubator-climb,https://lod-cloud.net/dataset/data-incubator-climb,Climb Dataincubator,A collection of data about climbing routes  crags  and mountains  screen-scraped from UKClimbing.com,climbing; deref-vocab; format-climb; format-dc; format-foaf; format-geo; format-rdf; format-rdfs; geographic; lod; lodcloud-diagram-2011-09-19; mountaineering; no-license-metadata; no-vocab-mappings; provenance-metadata; published-by-third-party; sport,cultural heritage,as natural heritage,,yes,
1511,bioportal-cmo,https://lod-cloud.net/dataset/bioportal-cmo,Clinical Measurement Ontology,The Clinical Measurement Ontology is designed to be used to standardize morphological and physiological measurement records generated from clinical and model organism research and health programs,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,ontology. clinical mentioned in the title,,,
1083,clld-afbo,https://lod-cloud.net/dataset/clld-afbo,CLLD-afbo,AfBo: A world-wide survey of affix borrowing published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
673,clld-apics,https://lod-cloud.net/dataset/clld-apics,CLLD-APICS,APiCS Online published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
789,clld-ewave,https://lod-cloud.net/dataset/clld-ewave,CLLD-EWAVE,eWAVE published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
875,clld-glottolog,https://lod-cloud.net/dataset/clld-glottolog,CLLD-GLOTTOLOG,Glottolog 2.7 published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
1568,clld-phoible,https://lod-cloud.net/dataset/clld-phoible,CLLD-PHOIBLE,PHOIBLE Online published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
1295,clld-sails,https://lod-cloud.net/dataset/clld-sails,CLLD-SAILS,SAILS Online published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
1247,clld-wals,https://lod-cloud.net/dataset/clld-wals,CLLD-WALS,WALS Online published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
740,clld-wold,https://lod-cloud.net/dataset/clld-wold,CLLD-WOLD,WOLD published by the CLLD project,linguistics; llod; lod,linguistic,Required information: CLLD – Cross-Linguistic Linked Data ,,,
502,combined-nomenclature-2012,https://lod-cloud.net/dataset/combined-nomenclature-2012,CN  2012,The Combined Nomenclature 2012 is a product scheme classification used to extract statistics.    Authors:    Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo     WESO-University of Oviedo,10ders; cn-2012; deref-vocab; e-procurement; euroalert; format-dc; format-dcterms; format-gr; format-skos; format-skosxl; geodata; government; license-metadata; linkeddata; linkedopendata; lod; oviedo; procurement; provenance-metadata; pscs; public_contracts; published-by-third-party; uniovi; university; university-of-oviedo; vocab-mappings; weso,not classified - government,statitstics ontology,,,
1182,cz-cuzk-legal-relationships-documents,https://lod-cloud.net/dataset/cz-cuzk-legal-relationships-documents,Code lists of the legal relationships and documents,Code lists of the legal relationships and documents in the Land register information system,czech; czech-republic; deref-vocab; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified - geography,,,,
1490,bioportal-cogat,https://lod-cloud.net/dataset/bioportal-cogat,Cognitive Atlas,The Cognitive Atlas is a collaborative knowledge building project that aims to develop an ontology that characterizes the state of current thought in cognitive science.  It defines a set of mental concepts along with a set of mental tasks  and the measurement relations between those classes.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,cognitive cited in the title and abstract. ontology? ,,,
49,bioportal-cogpo,https://lod-cloud.net/dataset/bioportal-cogpo,Cognitive Paradigm Ontology,This ontology is used to describe the experimental conditions within cognitive/behavioral experiments  primarily in humans.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,cognitive cited in the title and abstract. ontology? ,,,
1434,colinda,https://lod-cloud.net/dataset/colinda,COLINDA - Conference Linked Data,COLINDA -COnference LInked DAta   This data set is linked to GeoNames  DBPedia and DBLP (L3S).  Includes information about scientific conferences and their location including start and end times,conferences; crossdomain; deref-vocab; format-geo; format-geonames; format-owl; format-rdf; format-rdfs; format-swrc; locations; lod; lodcloud-diagram-2014-08-30; no-license-metadata; no-provenance-metadata; published-by-producer,papers,from titlle and abstract,,,
775,bioportal-ctcae,https://lod-cloud.net/dataset/bioportal-ctcae,Common Terminology Criteria for Adverse Events,A coding system for reporting adverse events that occur in the course of cancer therapy.  It was derived from the Common Toxicity Criteria (CTC) v2.0 and is maintained by the Cancer Therapy Evaluation Program (CTEP) at the National Cancer Institution (NCI).,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,cancer in the abstract,,,
557,rkb-explorer-cordis,https://lod-cloud.net/dataset/rkb-explorer-cordis,Community R&D Information Service (CORDIS) (RKBExplorer),,deref-vocab; format-akt; format-rdf; government; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; published-by-third-party; void-sparql-endpoint,not classified,unclear from title and absrtact. inaccessible resource,,,
568,fu-berlin-cordis,https://lod-cloud.net/dataset/fu-berlin-cordis,Community Research and Development Information Service (CORDIS),The Community Research and Development Information Service (CORDIS) contains information on all EU programmes and projects.,business; deref-vocab; format-dc; format-foaf; format-rdf; government; latc; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party,education?,"by the abstract, it documents projects. inaccessible resource",,,
34,bioportal-cdao,https://lod-cloud.net/dataset/bioportal-cdao,Comparative Data Analysis Ontology,A formalization of concepts and relations relevant to evolutionary comparative analysis  such as phylogenetic trees  OTUs (operational taxonomic units) and compared characters (including molecular characters as well as other types). CDAO is being developed by scientists in biology  evolution  and computer science,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,from titlle and abstract,,,
1547,ckan,https://lod-cloud.net/dataset/ckan,Comprehensive Knowledge Archive Network,,access-api; bio2rdf; catalog; catalogue; format-dcat; format-opmv; format-rdf; format-void; lodcloud-diagram-2014-08-30; package-type.catalog; published-by-producer; registry; resource-deref,not classified,unclear from title and absrtact. from the website it is related to CKAN (open data) inaccessible resource,,,
1125,CompHistSem0000018ae121a197,https://lod-cloud.net/dataset/CompHistSem,Computational Historical Semantics in LiLa,A subset of more than 1M tokens of a Latin corpus featuring more than 4000 texts spanning from the 2nd to the 15th Century. The subset is linked to the LiLa Lemma Bank,Latin; Corpus; LLOD; LiLa,linguistic,is it related to CH?,,,yes
1539,bioportal-cno,https://lod-cloud.net/dataset/bioportal-cno,Computational Neuroscience Ontology,CNO is a controlled vocabulary of terms used in Computational Neurosciences to describe models of the nervous system.  This first release of CNO is an alpha version and should be further aligned with other ontologies accessible on Bioportal and should be made compliant with the OBO foundry recommendations.  This work is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License. To view a copy of this license  visit http://creativecommons.org/licenses/by-nc-sa/3.0/ or send a letter to Creative Commons  444 Castro Street  Suite 900  Mountain View  California  94041  USA.  If you have any comments  questions or suggestions  please contact Yann Le Franc at ylefranc(at)gmail.com.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,ontology. neuroscience in title and abstract,,,
411,cz-ctia-confiscations,https://lod-cloud.net/dataset/cz-ctia-confiscations,Confiscations of the Czech Trade Inspection Authority,Basic information about confiscations performed by the Czech Trade Inspection Authority,format-gr; format-skos; government; license-metadata; lod; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified - government,,,,
1483,CoDa,https://lod-cloud.net/dataset/CoDa,Cooperation Databank,An annotated history of empirical studies on human cooperation in social dilemmas. Social Dilemmas are situations that involve a conflict of interests and people must choose between a behavior that is best for themselves and a behavior that is best for the collective. Cooperation is choosing to do a behavior that is best for the collective. CoDa contains six decades of studies on individual decision making in dyads and groups facing social dilemmas.The databank contains studies on human cooperation published in Chinese  English  and Japanese. Experts annotated these studies for 275 variables  including the quantitative results (effect sizes). We developed an ontology that defines and relates concepts in cooperation research and that can represent the relationships between individual study results. We have created an application that allows users to search the databank  and enables users to retrieve studies that test the relation of variables with cooperation  visualize these study results  and perform (1) meta-analyses  (2) meta-regressions  (3) estimates of publication bias  and (4) statistical power analyses for future studies.,Psychology; Sociology; Economics; Cooperation research; Prisoner's dilemma; Public Goods Game; Resource Dilemma; social dilemmas,not classified,,,,
584,CPC,https://lod-cloud.net/dataset/CPC,Cooperative Patent Classification,"This data set contains the Cooperative Patent Classification scheme. It is a hierarchical ontology with skos:narrower and skos:broader relations between its about 250 000 nodes (aka ""CPC symbols"") covering the complete technical domain. It is a refinement of the older International Patent Classification (IPC). CPC is used by major patent offices to classify patent documents. For more details see https://www.cooperativepatentclassification.org/",Patent Classification; CPC; Cooperative Patent Classification; IPC; International Patent Classification,SLR,patents from title and abstract,,,
712,Copyright_Free_Music00000193a96f29dc,https://lod-cloud.net/dataset/Copyright_Free_Music,Copyright Free Music,Royalty Free Music & Copyright Free Music ✔️ Unlimited Downloads Search 100% Claim-Free ☝ royalty free music & copyright free music for ⭐ youtube  games  commercial use;Unlimited Downloads tracks from our library,music; copyright free music; royalty free music,DOUBT,music. Unsure if it should be considered CH,,,yes
1585,copyrighttermbank,https://lod-cloud.net/dataset/copyrighttermbank,CopyrightTermBank,Terminology on copyright and related concepts,lemon; lexicon; linguistics; linked data; llod; lod; ontolex; rdf; terminology,linguistic,copyright from the abstract. terminology by title-abstract-keywords,,,
1633,core,https://lod-cloud.net/dataset/core,CORE - Semantic Similarity of Open Access publications,The CORE dataset contains information about similarities between scientific papers stored across Open Access repositories. The similarities are calculated using Natural Language Processing techniques based on the full-text.  The similarities are provided only for research articles with an accessible and machine readable full-text. More information about the data structure can be found at:http://core-project-local.kmi.open.ac.uk/data-description.    #### RDF Statistics    At the moment we expose more than 92 million RDF triples describing similarities calculated on a set of more than 400k full-text articles harvested from over 230 Open Access repositories.    #### Links    The data about the similarities are represented using the  MuSIM ontology (http://kakapo.dcs.qmul.ac.uk/ontology/musim/0.2/musim.html) BIBO ontologies (http://bibliontology.com/) with links to the OAI (RKBExplorer) repository available in the Linked Data cloud.,bibliographic; format-rdfs; license-metadata; llod; lod; lodcloud-diagram-2014-08-30; no-proprietary-vocab; no-provenance-metadata; oai; openuniversity; publications; published-by-producer; similarity,SLR/papers,from title-abstract-keywords,,,
850,Corine_linked_dataset,https://lod-cloud.net/dataset/Corine_linked_dataset,Corine linked dataset @PSNC,this dataset contains linked data from agriculture related lands (hilucs_code<200) & for main cities in Czech Republic (centers of NUTS3 regions)  Poland (agglomeration areas from Urban Atlas) and Spain (agglomeration areas from Urban Atlas).,corine; landuse; Czech Republic; Poland; Spain,not classified - geography,from title-abstract-keywords,,,
390,cornetto,https://lod-cloud.net/dataset/cornetto,Cornetto1.2,[Dutch lexical database](http://www2.let.vu.nl/oz/cltl/cornetto/)  similar to WordNet but with more semantic relations.  Links to package:vu-wordnet and package:w3c-wordnet .    When this dataset is used for research purposes  please cite:    Vossen  P.  Maks  I.  Segers  R.  van der Vliet  H.: Integrating lexical units  synsets and ontology in the Cornetto database. In: (ELRA)  E.L.R.A. (ed.) Proceedings of the Sixth International Language Resources and Evaluation (LREC?08) (2008),broken_link; cornetto; crossdomain; deref-vocab; dutch; format-rdf; format-skos; language; linguistics; linkeddata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-producer; vu; wordnet,linguistic,"from the abstract, wordnet is used as a similarity of cornetto.",,,
809,WHOnto,https://lod-cloud.net/dataset/WHOnto,Corona Virus Infected Cases Ontology,Ontology for Corona virus infected cases according to WHO. It is open-source ontology in the area of corona virus infectious disease. The WHOnto provide information about active cases  total number of death across the country. WHOnto is developed to provide standardized human- and computer interpret able annotation and representation of various corona virus infectious diseases  including their etiology  transmission   diagnosis  prevention  and treatment.,Covid_19 Ontology; Who Reported case ontology; Corona Virus Ontology,health,from title-abstract-keywords,,,
65,micro-coronavirus,https://lod-cloud.net/dataset/micro-coronavirus,Coronavirus dataset,Coronavirus species dataset 6 128 Triples This dataset contains metadata about the species of coronavirus. Category of coronavirus species dataset 714 Triples This dataset contains the species classification of coronavirus. Coronavirus strain dataset 7 124 947 Triples This dataset contains metadata about the strains of the coronavirus. Coronavirus nucleotide dataset 19 707 510 Triples This dataset contains the coronavirus nucleic acid metadata. Coronavirus gene dataset 18 891 854 Triples This dataset contains metadata about the genes of the coronavirus. Coronavirus protein dataset 25 018 370 Triples This dataset contains metadata about proteins of the coronavirus. Coronavirus structure dataset 10 751 Triples This dataset contains metadata about the structure of the coronavirus. Coronavirus antibody dataset 25 989 Triples This dataset contains metadata for antibodies to the coronavirus. Coronavirus literature dateset 56 840 Triples This dataset contains published literature related to the coronavirus. coronavirus patent dataset 14 001 Triples This dataset contains published patents related to the coronavirus. Dataset of topics in coronavirus literature 24 Triples This dataset contains the classification of research topics in the coronavirus literature. Medical classification dataset with coronavirus literature 12 516 Triples This dataset contains the medical subject classification of the coronavirus literature. Coronavirus distributed country dataset 540 Triples This dataset contains the countries where the coronavirus was collected.,Coronavirus; species; strain; gene; protein; nucleotide; antibody; Medical,health,from title-abstract-keywords,,,
97,corporate-body,https://lod-cloud.net/dataset/corporate-body,Corporate Body Named Authority List,"The Corporate bodies name authority list (NAL) or Common Authority Table (CAT) is a controlled vocabulary listing corporate entities such as European institutions and bodies with their authority code and label(s) in the 24 official languages of the EU. The list covers as well subdivisions of the different institutions such as DG's.  The Corporate bodies NAL is part of the Core Metadata (CM) used in the data exchange between the institutions involved in the legal decision making process and the Publications Office of the EU. The NAL is under governance of the Interinstitutional Metadata Maintenance Committee (IMMC) and maintained by the Publications Office of the EU in its Metadata Registry (MDR). This table provides the varying names of EU corporate bodies for a given time span. Some other corporate bodies are also included as far as they are used in the various systems in the Publications Office. They are classified accordingly in ""EU"" | ""INT (for international)"" | ""Other"". The traceability of the chronological modifications is ensured when possible. For the EU Corporate bodies  the legal basis is also indicated. As the official languages have changed over the time  the translations are provided in the existing official languages for a given period. The names are provided under the labels and in a longer form (e.g. Committee of the Regions | Committee of the Regions of the European Union).",controlled vocabulary; corporate bodies,not classified - government,,,,
744,CorpusFibonacci0000018b240c054f,https://lod-cloud.net/dataset/CorpusFibonacci,Corpus Fibonacci in LiLa,Chapter VIII of Liber Abbaci (also known as Liber Abaci)  linked to the LiLa Knowledge Base  a historic 1202 treaty on arithmetic by Leonardo Fibonacci  manually annotated with tokenization  lemmatization and part of speech tagging following the Universal Dependencies (UD) formalism.,Latin; Corpus; LLOD; LiLa; Fibonacci,"linguistic, cultural heritage?",linguistic. can it be considered CH?,,,yes
1217,CLaSSES0000018b23d9e855,https://lod-cloud.net/dataset/CLaSSES,Corpus for Latin Sociolinguistic Studies on Epigraphic textS (CLaSSES) in LiLa,The CLaSSES corpus linked to the LiLa Knowledge Base is a digital resource which gathers non-literary Latin texts (inscriptions  writing tablets  letters) of different periods and provinces of the Roman Empire. Each text is tagged with linguistic and extra-linguistic information that allows to analyze the spelling variations in Latin non-literary sources in the light of the sociolinguistic context of the Roman world.,Latin; Corpus; LLOD; LiLa; Epigraphy,"linguistic, cultural heritage?",,,,yes
956,bioportal-cst,https://lod-cloud.net/dataset/bioportal-cst,COSTART,Coding Symbols for Thesaurus of Adverse Reaction Terms (COSTART). 5th ed. Rockville (MD). COSTART is used for coding  filing  and retrieving post-marketing adverse drug and biologic experience reports. COSTART is organized in body system and pathophysiology hierarchies  as well as a separate fetal/neonatal category of less than 20 terms.  COSTART has been superseded by the Medical Dictionary for Regulatory Activities (MedDRA) Terminology. For more information about MedDRA in the Metathesaurus  see the MedDRA source synopsis.  COSTART was last updated in the Metathesaurus in 1999.,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,biologic experience report from the abstract,,,
535,country-authority-list,https://lod-cloud.net/dataset/country-authority-list,Country Name Authority List,"This country codes authority table is intended to provide a code related to the names of the countries – in a short and in a long form – in the 24 official languages of the European Union.These codes are used for the documentary metadata and may present slight differences with those used for the production of documents at a stylistic level.  The ""Authority code"" relays on the ISO 3166-1/alpha-3 positions. If the ISO code doesn't exist  an alpha-numeric code is created. A traceability of this codes creation is ensured and historical relationships are also offered as from 1950 till now with the date(s) of event(s).  A country code comparison is provided between ISO codes  IANA codes (Internet ccTLDS – Country-code Top-level Domains)  and TIR (Transport International par la Route) Vehicle system codes.  Codes marked in italic are obsolete and should not be used  excepted in the case of back-log work.  ISO 3166 is the International standard for country codes. The purpose of ISO 3166 is to establish codes for the representation of names of countries. This standard exists in three forms:      ISO 3166-1 (2006) contains a two-letter code which is recommended as the general purpose code  a three-letter code which has better mnenomic properties and a numeric-3 code which can be useful if script independence of the codes is important.     ISO 3166-2 (2007) gives codes for the names of the principal subdivisions (e.g provinces or states) of all countries coded in ISO 3166-1. This code is based on the two-letter code element from ISO 3166-1 followed by a separator and a further string of up to three alphanumeric characters.     ISO 3166-3 (1999) contains a four-letter code for those country names which have been deleted from ISO 3166-1 since its first publication in 1974. The code elements for formerly used country names have a length of four alphabetical characters (alpha-4 code elements).  The ISO 3166-1 is also used by the EU Geonomenclature of the Statistical Office  the UN/LOCODE  the World Intellectual Property Organisation (WIPO)  the International Atomic Energy Agency (IAEA)  the Internet Assigned Authority Numbers (IANA) and more other organisations.",controlled vocabulary; country; countries; geography,not classified - geography,from title-abstract-keywords,,,
680,http:cultural-opposition.eu,https://lod-cloud.net/dataset/http:cultural-opposition.eu,COURAGE Dataset,The COURAGE project was founded to investigate strategies for socialist-era cultural resistance during 1950-1990 and to highlight the variety of alternative cultural scenes that flourished in Eastern Europe before 1989  despite rigorous government control.  The project has compiled a registry of historical collections  people  groups  events  and collection items. This registry is an online RDF store containing scholar-curated linked data on the cultural heritage of the former 'Eastern bloc'. It has been used to create virtual and real exhibitions  scientific publications  and learning materials (see http://cultural-opposition.eu/).,history; cultural heritage,cultural heritage,from abstract. confirmed by CH as keyword,,,
1313,courts-thesaurus,https://lod-cloud.net/dataset/courts-thesaurus,Courts thesaurus,Courts thesaurus is structuring German and European courts in a hierarchical fashion and includes e.g. address information. This thesaurus is not only dedicated to parties interested in legal matters  but also to developers developing geo data applications. Information concerning courts and their roles and responsibilities can become an interesting aspect of many applications in the future.,courts; eu; format-dcterms; format-skos; format-vcard; germany; license-metadata; lod; lodcloud-diagram-2014-08-30; media; no-proprietary-vocab; provenance-metadata; published-by-producer; united nations,not classified - geography,,,,
1494,NCMI-COVID-190000019053a1616e,https://lod-cloud.net/dataset/NCMI-COVID-19,COVID-19 Data,Integration of biomedical  basic medicine  clinical medicine  pharmacy  public health  traditional Chinese medicine  population and reproductive health and other aspects of scientific data resources.NCMI is integration of biomedical  basic medicine  clinical medicine  pharmacy  public health  traditional Chinese medicine  population and reproductive health and other aspects of scientific data resources. This covid-19 Data contains clinical trail and drug data related with covid-19 virus.,COVID-19; Basic Medicine; Health,health,from title-abstract-keywords,,,
1489,whonto,https://lod-cloud.net/dataset/whonto,COvid-19 statistics Ontology,Semantic model for publishing COVID-19 data on the Web as a Graph.  The ontology focuses to represent COVID-19 cases: Create a COVID-19 knowledge space (e.g. new cases  total active  recovered  deceased  new deceased in a day) and provide the statistic of cases int Geo-location (district  state  country and continent) on daily basis.,COVID-19 Ontology; Ontology Based Courtry Wise Covid-19 Statistics; purl_covido; whonto,health,from title-abstract-keywords,,,
1348,Covid-on-the-Web,https://lod-cloud.net/dataset/Covid-on-the-Web,Covid-on-the-Web Dataset,Covid-on-the-Web Dataset is an RDF dataset that provides two main knowledge graphs produced by analyzing the scholarly articles of the COVID-19 Open Research Dataset (CORD-19  https://www.semanticscholar.org/cord19)  a resource of articles about COVID-19 and the coronavirus family of viruses:  (1) the CORD-19 Named Entities Knowledge Graph describes named entities identified and disambiguated by NCBO BioPortal annotator  Entity-fishing and DBpedia Spotlight. (2) the CORD-19 Argumentative Knowledge Graph describes argumentative components and PICO elements extracted from the articles by the Argumentative Clinical Trial Analysis platform (ACTA).  A description of the dataset  in the Turtle format  as well as examples are provided in https://github.com/Wimmics/CovidOnTheWeb/tree/master/dataset.  Covid-on-the-Web Dataset is an initiative of the Wimmics team  I3S laboratory  University Côte d'Azur  Inria  CNRS.,annotation; coronavirus; NER; cord19; covid19; literature; named entity; named entity recognition; argumentation theory; argument mining,health,from title-abstract-keywords,,,
881,http:www.semanticweb.orgarchanaontologies20215untitled-ontology-6,https://lod-cloud.net/dataset/http:www.semanticweb.orgarchanaontologies20215untitled-ontology-6,Covid19 Impact on Banking ontology (Covid19-IBO 1.5),Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,,health,from title-abstract-keywords,,,
904,Biop,https://lod-cloud.net/dataset/Biop,Covid19 Impact on Banking ontology (Covid19-IBO 1.5),Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,,health,from title-abstract-keywords,,,
537,Bioportal,https://lod-cloud.net/dataset/Bioportal,Covid19 Impact on Banking ontology (Covid19-IBO),Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,Covid19; banking; disease; person,health,from title-abstract-keywords,,,
766,http:www.semanticweb.orgambrishontologies202010untitled-ontology-24,https://lod-cloud.net/dataset/http:www.semanticweb.orgambrishontologies202010untitled-ontology-24,Covid19 Impact on Banking ontology (Covid19-IBO),Covid19 impact on Banking ontology (Covid19-IBO) that provides semantic information about the impact of the Covid-19 on the banking sector of India.,,health,from title-abstract-keywords,,,
1026,cpa-2008,https://lod-cloud.net/dataset/cpa-2008,CPA 2008,The Statistical classification of products by activity (CPA)  is a product scheme classification used to extract statistics. It was a previous attempt to CPV.    Authors:    -Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo    WESO-University of Oviedo,10ders; cpa; cpa-2008; deref-vocab; e-procurement; euroalert; format-dc; format-dcterms; format-gr; format-skos; format-skosxl; geodata; government; license-metadata; linkeddata; linkedopendata; lod; oviedo; procurement; provenance-metadata; pscs; public_contracts; published-by-third-party; uniovi; university-of-oviedo; vocab-mappings; weso,not classified - government,from title-abstract-keywords,,,
1562,cpc-2008,https://lod-cloud.net/dataset/cpc-2008,CPC 2008,The Central Product Classification (CPC)  is a product scheme classification used to extract statistics. It was a previous attempt to CPV.    Authors of the linked data version:    -Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo    WESO-University of Oviedo,10ders; cpc; cpc-2008; deref-vocab; e-procurement; euroalert; format-dc; format-dcterms; format-gr; format-skos; format-skosxl; geodata; government; license-metadata; linkeddata; linkedopendata; lod; oviedo; procurement; provenance-metadata; pscs; public_contracts; published-by-third-party; uniovi; university-of-oviedo; vocab-mappings; weso,not classified - government,from title-abstract-keywords,,,
1169,cpv-2003,https://lod-cloud.net/dataset/cpv-2003,CPV  2003,The Common Procurement Vocabulary (CPV) establishes a single classification system for public procurement aimed at standardising the references used by contracting authorities and entities to describe the subject of procurement contracts.    The dataset created is comprised of CPV 2008 and CPV 2003 codes and the mappings between them.     Authors:    Authors:    Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo     WESO-University of Oviedo,10ders; deref-vocab; e-procurement; euroalert; format-dc; format-dcterms; format-qb; format-skos; format-skosxl; geodata; government; license-metadata; linkeddata; linkedopendata; lod; oviedo; procurement; provenance-metadata; public_contracts; published-by-third-party; uniovi; university; university-of-oviedo; vocab-mappings; weso,not classified - government,from title-abstract-keywords,,,
1163,cpv-2008,https://lod-cloud.net/dataset/cpv-2008,CPV 2008,The Common Procurement Vocabulary (CPV) establishes a single classification system for public procurement aimed at standardising the references used by contracting authorities and entities to describe the subject of procurement contracts.    The dataset created is comprised of CPV 2008 and CPV 2003 codes and the mappings between them.     Authors:    Authors:    Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo     WESO-University of Oviedo,10ders; deref-vocab; e-procurement; euroalert; format-dc; format-dcterms; format-qb; format-skos; format-skosxl; geodata; government; license-metadata; linkeddata; linkedopendata; lod; oviedo; procurement; provenance-metadata; public_contracts; published-by-third-party; uniovi; university; university-of-oviedo; vocab-mappings; weso,not classified - government,from title-abstract-keywords,,,
