_id,url,title,description,keywords,Final_decision_previous_stage,GAB - Decision after inspection of the dataset,GAB - Source that guided the decision,MAR - Decision after inspection of the dataset,MAR - Source that guided the decision,Comments,3rd reviewer comment,New link for the resource,New SPARQL URL,New RDF Dump,No LD,Only ontology?
polymath-virtual-library,https://lod-cloud.net/dataset/polymath-virtual-library,Polymath Virtual Library (Authority data) - Fundación Ignacio Larramendi,"The Polymath Virtual Library aims to bring together the works of the most important Hispanic polymaths and to establish semantic relationships between them  expressing the different schools of thought  from Seneca to Octavio Paz. The aim is to bring together information  data  digital texts and web resources about Spanish  Hispano-American  Brazilian and Portuguese polymaths from all times. These datasets consists of  polymath authority data (Spanish  Latin American  Brasilian and Portuguese)  expressed in <a href=""http://pro.europeana.eu/web/guest/edm-documentation"" title=""Europeana Data Model"">  Europeana Data Model</a>. Links to VIAF and DBpedia in progress.",authority; bibliographic data; crossdomain; europeana data model; format-edm; format-skos; library; lld; lod; no-proprietary-vocab; published-by-producer; tangible,cultural heritage,cultural heritage,NO LD resources from the website,cultural heritage,"googling it: https://www.larramendi.es/en/cms/elemento.cmd?id=estaticos/paginas/Biblioteca_Virtual_Ignacio_Larramen.html 

Polymath Virtual Library aims to bring together information, data, digital texts and websites about Spanish, Hispano-American, Brazilian and Portuguese polymaths from all times. As such it aggregates information about the thinking, philosophy, politics, science, etc. from Spain, Hispano-American, Portugal and Brazil written in any language (Latin, Arabic, Hebrew, Spanish, Portuguese ...) and at any time (since Seneca in the first century BC to the present).

unclear if data can be downloada as linked data

reference as euroepeana use cases",,,https://www.larramendi.es/en/cms/elemento.cmd?id=estaticos/paginas/Biblioteca_Virtual_Ignacio_Larramen.html ,,,,
prelinger_archives,https://lod-cloud.net/dataset/prelinger_archives,Prelinger Archives,"The Prelinger Archives is a collection of films relating to U.S. cultural history  the evolution of the American landscape  everyday life and social history. It was physically located in New York City from 1982-2002 and is now in San Francisco.    The Archives was founded by Rick Prelinger in 1982 in order to preserve what he calls ""ephemeral"" films: films sponsored by corporations and organizations  educational films  and amateur and home movies. Typically  ephemeral films were produced to fulfill specific purposes at specific times  and many exist today only by chance or accident. About 65% of the Archive's holdings are in the public domain because their copyrights have expired  or because they were U.S. productions that were published without proper copyright notice.    This dataset consists of metadata about more than 2 000 public domain films that the Prelinger Archives have made available for unrestricted use via the Internet Archive.    *Note* this dataset is no longer updated  it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi)",deref-vocab; format-dcmit; format-foaf; format-rdf; license-metadata; media; published-by-third-party; intangible,cultural heritage,cultural heritage,NO LD,cultural heritage,https://archive.org/details/prelinger googling it,,,https://archive.org/details/prelinger,,,,
princeton-library-findingaids,https://lod-cloud.net/dataset/princeton-library-findingaids,Princeton Library FindingAids,Use this site to explore descriptions of our unique holdings at the Princeton University Libraries  which include manuscripts  archival collections  images  ephemera  and much more one-of-a-kind material.,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-dcterm; format-dctypes; format-foaf; format-open; format-rdf; format-time; format-vcard2006; lodcloud-diagram-2014-08-30; non-deref-vocab; provenance-metadata; publications; tangible,cultural heritage,cultural heritage,No LD resources in the website,cultural heritage,No LD resources in the website,,,,,,,
surge-radio,https://lod-cloud.net/dataset/surge-radio,Surge Radio,Has RDF descriptions of featured artists and tracks  derived from package:musicbrainz,format-event; format-foaf; format-mo; format-rdf; lod; lodcloud-diagram-2011-09-19; media; music; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party; intangible,cultural heritage,cultural heritage,Link from google: https://data.southampton.ac.uk/point-of-service/susu-radio.html,cultural heritage,,,,https://data.southampton.ac.uk/point-of-service/susu-radio.html,,,,
zitgist-musicbrainz,https://lod-cloud.net/dataset/zitgist-musicbrainz,MusicBrainz (zitgist.com),RDF for artists  records  performances etc.  generated from package:musicbrainz.,format-mo; format-rdf; format-rdfs; lod; lodcloud.nolinks; media; music; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party; intangible,cultural heritage,cultural heritage,By searching the project on google at this page must be the RDF dump:http://linkedbrainz.org/rdf/dumps/ but I don't see them anywhere,cultural heritage,"LinkedBrainz is currently unsupported and out of date as a source of MusicBrainz data, however the MusicBrainz website does output complete metadata in json-ld format:

   curl -H ""Accept: application/ld+json"" https://musicbrainz.org/artist/20ff3303-4fe2-4a47-a1b6-291e26aa3438",,,https://musicbrainz.org/,,,,
ASCDC-AS-NTUE-School-Art-Textbooks0000018e70941b9b,https://lod-cloud.net/dataset/ASCDC-AS-NTUE-School-Art-Textbooks,Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks),The LOD dataset of ASCDC_Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period” (日治時代台灣小公學校美術教課書數位典藏收集計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=55514). Originally  the metadata was established by the National Taipei University of Education Department of Digital Technology Design (國立臺北教育大學數位科技設計學系) in Taiwan (ROC). It provides information on the art textbooks of elementary schools published during Japanese Rule and can serve as a database for the study of Taiwan’s art education in the public schools of the early 20th century. Containing 1 849 data records and 59 209 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Arts; Art Textbooks; Elementary and Public Schools; Taiwan; Japanese Colonial Period; National Taipei University of Education; Taiwan Union Catalog; tangible,cultural heritage,cultural heritage,website,cultural heritage,"the website offers access to a pool of 15 datasets. TOPICS: Biology, Anthropology, Religion, Art, Audio-video, History, Social Humanities",,,,,,,
ASCDC-AS-TFD-Fish-Species,https://lod-cloud.net/dataset/ASCDC-AS-TFD-Fish-Species,Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species),The LOD dataset of ASCDC_Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Taiwan fauna database research: Taiwan digital fish species database” (臺灣動物相典藏之研究：臺灣魚類相之數位典藏) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=17509). Originally  the metadata was established by the Biodiversity Research Center  Academia Sinica (中央研究院生物多樣性研究中心) in Taiwan (ROC). It provides information on the fish species data collected by the Biodiversity Research Center at the Academia Sinica and can serve as database for the study of fish species in the coastal waters in and around the Taiwan Island. Containing 41 861 data records and 1 477 259 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Biology; Aquatic Animals; Fishes; Specimen; Taiwan; Biodiversity Research Center; Academia Sinica; Taiwan Union Catalog; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-CRB,https://lod-cloud.net/dataset/ASCDC-CRB,Database of Chinese Rare Books (CRB),The LOD dataset of ASCDC_Database of Chinese Rare Books (CRB) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the online database of the “Digital Library of Chinese Rare Books” (古漢籍善本數位化資料庫  http://rarebookdl.ihp.sinica.edu.tw/rarebook/Search/index.jsp). This digital library was established and maintained by the Fu Ssu-nien Library at the Institute of History and Philology  Academia Sinica  Taipei  Taiwan (ROC). The data includes titles and information on more than 900 Chinese rare books and manuscripts collected by the Library of Congress  Princeton University Library  Harvard–Yenching Library and Fu Ssu-nien Library. Containing 39 911 data records and 140 638 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC0)  while the digital images are under the CC-BY-NC-SA 3.0 license.,ASCDC; Chinese Rare Books; History; Taiwan; Academia Sinica; Fu Ssu-nien Library; Institute of History and Philology; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-CTS-TV-Programs,https://lod-cloud.net/dataset/ASCDC-CTS-TV-Programs,The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs),The LOD dataset of ASCDC_The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Chinese Television System Educational and Cultural Programs Digital Archive” (華視教育文化節目之數位典藏) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=61756). Originally  the metadata was established by the Multimedia & Game Science Department at the Lunghwa University of Science and Technology (龍華科技大學多媒體與遊戲發展科學系). The data includes collections of digital information about 5 educational and cultural programs  such as Nature Classroom  One Word a Day  Voices of the Hokkien  Harvest Season and Hometown Yearnings  which were produced by the Chinese Television System (CTS) in the 1980s. Containing 726 data records and 31 711 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-ND.,ASCDC; Media; Video-clips; Chinese Television System; Television Programs; Education; Culture; Lunghwa University of Science and Technology; Taiwan Union Catalog; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-DQOT,https://lod-cloud.net/dataset/ASCDC-DQOT,Database of Qing Official Titles (DQOT),The LOD dataset of ASCDC_Database of Qing Official Titles (DQOT) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the online “Database of Qing Official Titles” (清代職官資料庫  https://newarchive.ihp.sinica.edu.tw/officerc/officerkm2?@@0.21081762485249556)  which was established and maintained by the Institute of History and Philology  Academia Sinica  Taipei  Taiwan (ROC). The data includes titles of the official positions in the Qing dynasty (1644-1911) and their detailed information  which can serve as authority files or controlled vocabularies for official positions in the study of Chinese history. Containing 6 846 data records and 164 733 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC BY).,ASCDC; Chinese History; History; Qing Dynasty; Qing Official Titles; Academia Sinica; Institute of History and Philology; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-IHP-WCD,https://lod-cloud.net/dataset/ASCDC-IHP-WCD,Database of the Han Wooden Slips Character Dictionary (WCD),The LOD dataset of ASCDC_Database of the Han Wooden Slips Character Dictionary (WCD) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Han Wooden Slips Character Dictionary” (簡牘字典―史語所藏居延漢簡資料庫  https://wcd-ihp.ascdc.sinica.edu.tw/woodslip/)  which was established and maintained by the Institute of History and Philology  Academia Sinica  Taipei  Taiwan (ROC). The data includes information on the archaeological objects of Han Wooden Slips  which were created in the Han dynasty (206 B.C.-220 A.D.) and excavated in the early 1930s during the Sino-Swedish Scientific Expedition. The data can serve as a profound source for the digital study of ancient Chinese history. Containing 207 data records and 143 264 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized images are under CC-BY-NC-ND 3.0.,ASCDC; Chinese History; Wooden Slips; Han Dynasty; Chinese Characters; Academia Sinica; Institute of History and Philology; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-Linked-Taiwan-Artists,https://lod-cloud.net/dataset/ASCDC-Linked-Taiwan-Artists,Linked Taiwan Artists (LTA),The LOD dataset of Linked Taiwan Artists (LTA) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the online database of “Starting Out from 23.5°N: Chen Cheng-po” (從北緯23.5°出發 陳澄波  https://chenchengpo.asdc.sinica.edu.tw/main_en). It provides information on the biographical and work information of the renowned Taiwanese artists of the early 20th centuries and could be served as foundation for the study of Taiwan’s art history at that period. Containing 311 data records and 17 298 triples  the textual content within the LOD dataset is licensed under the Creative Common Attribution (CC 0).,ASCDC; Arts; Art History; Paintings; Artists; Chen Cheng-po; Taiwan; Japanese Colonial Period; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-NMMBA-Aquatic-Animals-in-Taiwan,https://lod-cloud.net/dataset/ASCDC-NMMBA-Aquatic-Animals-in-Taiwan,Research on the Aquatic Animals in Taiwan and its Neighborhood Area (NMMBA-Aquatic-Animals-in-Taiwan),The LOD dataset of ASCDC_Research on the Aquatic Animals in Taiwan and its Neighborhood Area (NMMBA-Aquatic-Animals-in- Taiwan) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Research on the Aquatic Animals in Taiwan and its Neighborhood Area” (臺灣及鄰近地區水域動物相典藏之研究：魚類及蝦、蟹類計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=4892). Originally  the metadata was established by the National Museum of Marine Biology and Aquarium (NMMBA  國立海洋生物博物館) in Taiwan (ROC). It provides information on specimens of aquatic animals collected by the NMMBA and can serve as a database for the study of species in the coastal waters in and around Taiwan. Containing 7 311 data records and 73 696 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Biology; Aquatic Animals; Fishes; Crabs; Shrimps; Specimen; Taiwan; National Museum of Marine Biology and Aquarium; Taiwan Union Catalog; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-NMMBA-Fish-Otoliths,https://lod-cloud.net/dataset/ASCDC-NMMBA-Fish-Otoliths,The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths),The LOD dataset of ASCDC_The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Digital Collection of Taiwan's Fish Otoliths” (國立海洋生物博物館台灣耳石典藏計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=57275). Originally  the metadata was established by the National Museum of Marine Biology and Aquarium (NMMBA  國立海洋生物博物館) in Taiwan (ROC). It provides information on specimens of fish otoliths collected by the NMMBA and can serve as a database for the study of fish species in the coastal waters in and around Taiwan. Containing 1 804 data records and 191 464 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Biology; Aquatic Animals; Fishes; Otoliths; Specimen; Taiwan; National Museum of Marine Biology and Aquarium; Taiwan Union Catalog; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-Qing-Secret-Societies000001926f32dacb,https://lod-cloud.net/dataset/ASCDC-Qing-Secret-Societies,Dataset of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan),The LOD dataset of ASCDC_Database of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan) is created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the research project of the “The Secret Societies in Qing Dynasty” (清代檔案與數位人文研究──以官方查辦民間教門為核心). From 2022 to 2025  this project is funded by the National Science and Technology Council in Taiwan (NSTC 112-2423-H-001-002). The dataset is established and maintained by ASCDC at Academia Sinica in Taipei  Taiwan (ROC). The data includes the archives  persons  religious sects  sect events and place names related to the Chinese secret societies in the Jiaqing era (1796-1820)  which can be served as authority files or controlled vocabularies for the study of the Chinese history. In particular  the data triples of the sect event of the Shifokou Wang’s Clan (石佛口王姓教案) will be focused in this dataset. Containing 8 810 data triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC BY).,ASCDC; Chinese History; History; Qing Dynasty; Archives; Religion; Secret Societies; Academia Sinica; Institute of History and Philology; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-Tibetan-Audio-Archive000001911262acf0,https://lod-cloud.net/dataset/ASCDC-Tibetan-Audio-Archive,The Tibetan Collection Audio Archive Research Project (Tibetan Audio Archive),The LOD dataset of ASCDC_The Tibetan Collection Audio Archive Research Project (Tibetan Audio Archive) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Tibetan Collection Audio Archive Research Project” (西藏珍藏語音檔案研究計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=38949). Originally  the metadata was established by the Dharma Drum Institute of Liberal Arts (法鼓文理學院). The audio archive includes information on sound recordings of Buddhist preaching in the Tibetan language. Containing 1 962 data records and 112 628 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under the Open Government Data License  version 1.0 (CC BY).,ASCDC; Media; Audio Recordings; Religion; Tibet; Buddhism; Dharma Drum Institute of Liberal Arts; Taiwan Union Catalog; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC-_NTM-Formosan-Aborigines,https://lod-cloud.net/dataset/ASCDC-_NTM-Formosan-Aborigines,The National Taiwan Museum's Formosan Aborigines Collections Digitizing Project (NTM-Formosan-Aborigines),The LOD dataset of ASCDC_The National Taiwan Museum's Formosan Aborigines Collections Digitizing Project (NTM- Formosan-Aborigines) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The National Taiwan Museum's Formosan Aborigines Collections Digitizing Project” (國立台灣博物館原住民文物典藏數位化計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=38973). Originally  the metadata was established by the History & Ethnic Groups of National Taiwan Museum (NTM  國立台灣博物館) in Taipei. It provides information on Taiwanese indigenous people’s cultural heritages collected by the NTM and can serve as a database for the study of the indigenous people in Taiwan. Containing 3 767 data records and 118 549 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the rights of the digitized item are reserved by the National Taiwan Museum.,ASCDC; Anthropology; Taiwanese Indigenous people; Cultural Heritages; National Taiwan Museum; Taiwan Union Catalog; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC_-_CCP_Archive,https://lod-cloud.net/dataset/ASCDC_-_CCP_Archive,"Dataset of the Chen Cheng-po’s Paintings and Documents (CCP) in the Taiwan Archive Information System (TAIS- ITH/ASCDC) at the Institute of Taiwan History, Academia Sinica",The LOD dataset of the archive of “Chen Cheng-po’s Paintings and Documents” (陳澄波畫作與文書檔) in the Taiwan Archive Information System at the Institute of Taiwan History (ITH)  Academia Sinica was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the online database of the “Taiwan Archive Information System” (臺灣史檔案資源系統  http://tais.ith.sinica.edu.tw/sinicafrsFront/browsingLevel1.jsp?xmlId=0000283891)  which was established and maintained by the Institute of Taiwan History  Academia Sinica  in Taipei  Taiwan (ROC). The data includes hierarchically structured archival resources and is focused on the creations of Chen Cheng-po  such as his works  personal objects and collections of books  collages  postcards  etc. related to his personal life. Containing 1 522 data records and 44 647 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC0).,ASCDC; Chen Cheng-po; Archives; Art History; Taiwan; Paintings; Academia Sinica; Arts; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
ASCDC_-_DNB,https://lod-cloud.net/dataset/ASCDC_-_DNB,Database of Names and Biographies (DNB),The LOD dataset of ASCDC_Database of Names and Biographies (DNB) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the online “Database of Names and Biographies” (人名權威人物傳記資料庫  http://archive.ihp.sinica.edu.tw/ttsweb/html_name/)  which was established and maintained by the Institute of History and Philology  Academia Sinica  Taipei  Taiwan (ROC). The data includes the names of Chinese historical persons  mostly from the Ming to Qing dynasty  and their biographical information  which can serve as authority files or controlled vocabularies for names in the study of Chinese history. Containing 35 251 data records and 2 819 864 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC BY).,ASCDC; Chinese History; History; Chinese Historical Persons; Biographical Data; Academia Sinica; Institute of History and Philology; tangible,cultural heritage,cultural heritage,website,cultural heritage,"It is linked to the same website of ""Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks)""",,,,,,,
BVMC,https://lod-cloud.net/dataset/BVMC,Biblioteca Virtual Miguel de Cervantes,The catalogue of the Biblioteca Virtual Miguel de Cervantes contains about 200 000 records which were originally created in compliance with the MARC21 standard.  The database content has been later mapped to RDF triples which employ mainly the RDA vocabulary (Resource Description and Access) to describe the entities  as well as their properties and relationships.,Miguel de Cervantes; Library LOD; tangible,cultural heritage,cultural heritage,website,cultural heritage,website. it is also linked to a list of publications co-authored by candela,,,,,,,
Chinese_Red_Classic_Song_Linked_Data_Dataset,https://lod-cloud.net/dataset/Chinese_Red_Classic_Song_Linked_Data_Dataset,Chinese Red Song Linked Data Dataset,Red songs are precious historical materials  reflecting the face of Chinese people in a specific historical period  praising the glorious achievements of the party and the motherland  praising the noble spirit of the people of all ethnic groups who are not afraid of hardships and hard struggle  and expressing their yearning for their hometown. At the same time  many songs reflect the historical events experienced by the party and the state in the development process  and praise a large number of proletarian revolutionaries and ordinary workers who have made great contributions to the prosperity of the country and the happiness of the people. At the same time  it attacked the oppression of imperialism and feudalism. These are still worth learning.,Red Classic Song Chinese History-event Figure Imagery; intangible,cultural heritage,cultural heritage,full downlaods resources from lodc,cultural heritage,full downlaods resources related to songs,,,,,,,
LucaniPharsalia0000018ae110f661,https://lod-cloud.net/dataset/LucaniPharsalia,Lucani Pharsalia in LiLa,The Pharsalia is an epic poem in 10 books written by Lucan in 1st century AD. It portrays the civil war between Caesar and the Senate's forces  led by Pompey. The digital text of the 10 books of the Pharsalia by Lucan is taken from Perseus collection. The original text was lemmatized and PoS tagged with the UDPipe tool  using an in-house built trained model based on different UD Latin treebanks. The output of UDPipe was then checked manually at the CIRCSE Research Centre of the Università Cattolica del Sacro Cuore  Milan  Italy. The linking of the text to the Lemma Bank of the LiLa Knowledge Base was also performed at CIRCSE.,Latin; LLOD; LiLa; Corpus; Lucanus; tangible,cultural heritage,cultural heritage,website and full download,cultural heritage,"In full downloads, a link to github: https://github.com/CIRCSE/LucaniPharsalia. Download in ttl and conll",,,,,,,
Querolus0000018ae126f0e5,https://lod-cloud.net/dataset/Querolus,Querolus in LiLa,The text of Querolus  an anonymous Latin comedy dating back to V century AD  linked to the LiLa Knowledge Base.,Latin; Corpus; LLOD; LiLa; tangible,cultural heritage,cultural heritage,website and full download,cultural heritage,"In full downloads, a link to github: https://github.com/CIRCSE/Querolus Download in ttl and conll",,,,,,,
UDante0000018b240b14a8,https://lod-cloud.net/dataset/UDante,UDante in LiLa,UD treebank  of Dante Alighieri’s Latin works linked to the LiLa Knowledge Base,Latin; Corpus; LLOD; LiLa; Dante; tangible,cultural heritage,cultural heritage,"sparql endpoint not working, the github repository is available",cultural heritage,"sparql endpoint not working, the github repository is available and it contains conll",,,,,,,
b3kat,https://lod-cloud.net/dataset/b3kat,"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",Joint Union Catalogue of 200 academic libraries in the german states of Bavaria  Berlin and Brandenburg. The data contains descriptions of 28Mio. titles and 69Mio. holdings available in these libraries. The available data dump in Turtle is approx. 9GB.,bavaria; berlin; bibliographic; brandenburg; format-bibo; format-dc; format-dcterms; germany; government; library; license-metadata; lld; lod; lodcloud-diagram-2014-08-30; no-proprietary-vocab; no-provenance-metadata; published-by-producer; publications; tangible,cultural heritage,cultural heritage,,cultural heritage,"Here your have access to roughly 28 million titles from 200 academic libraries in Bavaria, Berlin and Brandenburg.",,,,,,,
